state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
182000000	0.5685	1.6200	0.3581	0.3681	2.4545	0.6307	0.6779	0.4811	0.1812	0.1826	0.1551	4.7117E-3	1.1553E-3	4.718E-3	0.2477	2.1067E-2	3.989	74.443	26453.007
183000000	0.5767	1.6621	0.3330	0.3495	2.4584	0.6203	0.6737	0.4741	0.1856	0.1801	0.1602	4.5037E-3	1.1213E-3	4.4814E-3	0.2516	1.714E-2	1.646	76.791	27785.917
184000000	0.5757	1.6987	0.3327	0.3425	2.4730	0.5773	0.6853	0.4740	0.1842	0.1814	0.1604	4.3763E-3	1.0008E-3	4.3649E-3	0.2331	3.7519E-2	3.323	79.557	28855.276
185000000	0.5657	1.6367	0.3579	0.3693	2.4925	0.5779	0.6786	0.4734	0.1859	0.1833	0.1574	4.2058E-3	9.494E-4	4.2888E-3	0.2306	3.6685E-2	1.741	77.256	29000.096
186000000	0.5586	1.6156	0.3554	0.3457	2.5136	0.6112	0.6678	0.4748	0.1848	0.1869	0.1535	4.4221E-3	1.0387E-3	4.4382E-3	0.2393	2.9078E-3	2.927	83.271	28778.741
187000000	0.5883	1.6735	0.3697	0.3507	2.3975	0.6203	0.6668	0.4673	0.1895	0.1837	0.1595	4.4591E-3	1.0753E-3	4.4519E-3	0.2513	4.1598E-2	1.477	74.742	28233.123
188000000	0.5784	1.6688	0.3519	0.3494	2.4305	0.6210	0.6849	0.4714	0.1860	0.1831	0.1595	4.4337E-3	1.0556E-3	4.4641E-3	0.2410	8.195E-3	2.494	79.476	27912.361
189000000	0.5610	1.6987	0.3496	0.3686	2.4038	0.6184	0.6455	0.4723	0.1898	0.1815	0.1564	4.551E-3	1.0342E-3	4.5157E-3	0.2288	-1.0419E-2	2.615	76.276	27866.214
190000000	0.5589	1.6317	0.3691	0.3503	2.4872	0.6029	0.6824	0.4726	0.1879	0.1821	0.1574	4.5406E-3	1.106E-3	4.551E-3	0.2398	-3.4135E-2	1.722	79.948	27221.764
191000000	0.5702	1.6320	0.3654	0.3580	2.4485	0.6259	0.6656	0.4676	0.1894	0.1863	0.1567	4.8093E-3	1.1179E-3	4.7964E-3	0.2371	4.951E-2	3.178	74.460	26067.874
192000000	0.5663	1.6202	0.3547	0.3779	2.4277	0.6531	0.6682	0.4837	0.1823	0.1800	0.1540	4.6775E-3	1.0177E-3	4.674E-3	0.2224	-2.4508E-2	1.802	77.632	26891.020
193000000	0.5697	1.6931	0.3546	0.3631	2.3968	0.6227	0.6705	0.4659	0.1892	0.1882	0.1567	4.6079E-3	1.1007E-3	4.6512E-3	0.2385	2.995E-2	4.462	76.955	27276.241
194000000	0.5769	1.6063	0.3429	0.3572	2.5004	0.6164	0.6761	0.4764	0.1796	0.1883	0.1557	4.4922E-3	1.0015E-3	4.51E-3	0.2248	-2.0308E-2	3.849	78.657	27850.155
195000000	0.5717	1.6604	0.3575	0.3713	2.4364	0.6026	0.6791	0.4672	0.1865	0.1862	0.1601	4.5473E-3	1.0435E-3	4.5254E-3	0.2273	-2.8736E-2	4.617	75.702	28016.997
196000000	0.5608	1.7036	0.3510	0.3624	2.4281	0.5941	0.6711	0.4681	0.1906	0.1839	0.1575	4.4541E-3	1.0979E-3	4.454E-3	0.2426	4.907E-2	2.734	84.550	28343.450
197000000	0.5609	1.6176	0.3589	0.3817	2.4717	0.6091	0.6675	0.4794	0.1814	0.1867	0.1525	4.4855E-3	1.0386E-3	4.5242E-3	0.2385	1.2938E-2	0.832	74.000	28178.100
198000000	0.5809	1.6089	0.3682	0.3514	2.4820	0.6086	0.6727	0.4751	0.1851	0.1893	0.1505	4.471E-3	1.1201E-3	4.4341E-3	0.2524	-7.0773E-3	2.435	80.897	28943.516
199000000	0.6358	1.7149	0.3566	0.3669	2.3539	0.5718	0.6873	0.4617	0.1804	0.1904	0.1675	4.3283E-3	1.1072E-3	4.3201E-3	0.2458	3.3411E-2	4.534	80.232	28823.840
200000000	0.5798	1.6636	0.3617	0.3698	2.4334	0.5918	0.6774	0.4725	0.1857	0.1856	0.1561	4.5795E-3	1.1906E-3	4.5106E-3	0.2593	3.5251E-2	1.969	79.282	27780.539
