state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
233000000	12.192	11.898	11.579	12.088	11.932	13.026	11.119	11.056	11.457	12.054	11.276	11.832	12.130	11.400	10.586	9.746	9.643	8.603	8.215	7.334	7.640	6.935	6.646	6.391	5.522	5.241	5.646	5.047	4.571	4.709	4.441	5.107	4.229	4.151	3.912	3.883	4.168	3.405	2.944	2.627	2.314	0.728	0.909	0.200	0.265	-0.139	-0.734	-0.987	-1.626	-1.946
234000000	13.613	12.662	11.604	11.036	11.542	12.013	11.502	12.800	11.734	11.781	11.835	12.173	12.050	11.335	11.305	10.315	8.902	9.071	8.613	8.051	7.390	7.328	6.691	6.183	6.220	5.545	4.642	5.405	5.260	5.652	5.426	4.213	4.178	5.026	4.488	4.178	3.331	2.857	4.122	2.531	1.539	1.286	0.414	0.098	1.836	2.904	3.743	2.529	1.938	0.728
235000000	12.845	12.330	12.231	11.980	12.434	12.333	12.631	13.433	13.856	12.645	12.195	12.084	11.021	11.654	10.607	10.182	9.220	8.191	7.986	8.450	7.150	7.161	6.463	6.477	6.152	5.761	4.862	5.366	4.727	5.283	5.825	5.780	4.792	3.734	3.850	3.919	4.754	3.917	4.528	3.757	3.268	3.104	2.062	2.452	1.970	0.097	0.544	0.693	1.145	1.260
236000000	12.483	11.992	12.803	12.068	11.643	11.174	11.760	12.435	12.386	12.318	12.185	12.664	11.872	11.569	10.646	9.577	9.098	8.681	8.354	7.383	7.241	6.779	6.313	6.359	6.267	5.813	5.302	4.785	4.965	5.633	5.708	4.769	4.381	4.121	3.246	4.647	4.311	4.124	3.387	3.174	3.225	1.679	1.207	1.167	1.050	1.383	0.619	-0.084	0.472	0.395
237000000	10.932	11.751	12.054	12.226	12.424	12.054	11.834	12.199	12.221	12.934	13.224	12.944	13.222	12.571	11.572	10.280	8.856	8.680	8.133	7.790	7.321	6.932	6.875	5.635	5.874	6.253	5.726	5.424	5.851	5.013	5.621	5.332	5.343	4.224	4.431	4.134	4.001	3.474	3.288	3.136	3.586	2.993	2.189	1.153	1.657	1.809	1.229	1.520	1.337	1.615
238000000	11.001	11.313	11.753	11.227	12.300	11.692	11.496	12.088	12.139	12.371	12.090	11.811	11.986	11.996	11.440	10.128	8.918	9.032	8.636	8.024	7.860	6.893	6.460	6.072	5.915	5.250	5.227	5.599	5.234	5.585	4.614	4.473	4.126	5.061	4.508	3.842	4.171	4.458	4.092	3.967	2.923	3.544	2.985	3.325	2.893	2.967	1.986	1.691	2.064	2.154
239000000	12.988	12.594	11.697	11.469	11.891	12.002	12.594	12.814	12.702	12.232	13.144	13.670	12.433	11.884	11.077	9.855	9.041	8.783	8.097	8.278	7.248	6.750	6.701	5.864	5.674	5.131	5.404	5.285	5.318	5.198	5.105	3.844	4.381	4.075	3.511	3.790	3.049	3.160	3.451	2.745	1.018	1.017	1.660	1.826	0.556	1.456	1.981	1.565	0.742	0.049
240000000	12.232	11.408	11.711	12.648	12.365	11.750	11.486	12.478	12.588	12.717	12.854	11.957	11.976	11.196	11.165	9.715	9.001	8.726	7.938	7.470	7.151	6.916	6.193	5.704	5.387	5.477	4.895	5.263	5.026	5.414	5.317	5.088	4.003	3.949	3.656	3.317	3.455	3.110	3.374	3.709	2.837	2.177	2.721	2.837	2.957	3.248	3.827	4.201	4.590	4.291
241000000	11.535	11.739	11.816	11.523	11.779	11.199	12.110	12.572	13.061	12.212	12.792	13.104	12.447	11.329	10.813	9.944	8.932	8.276	8.061	7.668	7.423	6.860	6.311	5.656	5.554	5.429	4.879	4.652	4.771	4.270	4.945	4.557	4.638	4.464	3.921	4.113	3.863	4.066	3.801	3.528	3.463	2.868	3.200	2.386	2.648	2.423	2.431	3.368	3.620	3.358
242000000	13.061	13.395	13.968	12.796	12.019	11.544	11.556	12.105	12.768	12.482	11.387	11.701	12.844	12.076	11.457	9.455	9.251	8.639	8.175	7.615	7.231	7.165	6.383	6.471	5.340	5.805	5.084	5.756	5.882	4.979	4.660	4.622	4.383	4.702	4.329	4.106	4.032	2.983	3.278	2.800	2.262	1.879	1.207	0.872	1.356	1.848	1.166	0.168	-0.136	-0.809
