state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
119000000	5.7684	7.8849E-3	0.2927	0.1814	0.1891	0.3367	1.1405E-3	0.409	0.359	35.120
120000000	6.1115	3.6249E-2	0.2944	0.1795	0.1935	0.3326	1.0728E-3	0.996	0.423	34.829
121000000	6.6362	1.3021E-2	0.2940	0.1832	0.1880	0.3348	1.1464E-3	0.374	0.418	33.839
122000000	5.3701	5.1451E-2	0.2931	0.1775	0.1895	0.3399	1.0814E-3	0.286	0.412	34.424
123000000	5.8219	2.0529E-2	0.2928	0.1799	0.1960	0.3312	1.1191E-3	0.389	0.401	34.864
124000000	7.0813	1.0999E-2	0.2948	0.1793	0.1927	0.3332	1.1141E-3	0.473	0.392	34.639
125000000	6.0715	2.912E-2	0.2962	0.1829	0.1919	0.3289	1.1365E-3	0.651	0.452	34.685
126000000	5.4931	4.1193E-2	0.2941	0.1786	0.1941	0.3332	1.0923E-3	0.283	0.407	35.019
127000000	6.4856	1.4564E-2	0.2939	0.1793	0.1918	0.3349	1.0931E-3	0.605	0.402	34.637
128000000	5.8289	3.8519E-2	0.2975	0.1789	0.1904	0.3332	1.0568E-3	0.389	0.434	37.243
129000000	6.2262	1.4906E-2	0.2934	0.1809	0.1905	0.3352	1.0354E-3	0.357	0.408	35.114
130000000	5.5942	9.8051E-3	0.2889	0.1786	0.1924	0.3401	9.9343E-4	0.289	0.401	36.497
131000000	5.6131	7.436E-3	0.2952	0.1803	0.1892	0.3353	1.1571E-3	0.263	0.396	33.899
132000000	5.4078	2.3624E-2	0.3009	0.1740	0.1873	0.3378	1.1198E-3	1.022	0.377	34.071
133000000	5.3885	3.1022E-2	0.2947	0.1802	0.1943	0.3308	1.1227E-3	0.621	0.422	33.669
134000000	5.5568	5.8607E-2	0.2911	0.1818	0.1899	0.3373	1.1604E-3	0.615	0.386	34.096
135000000	5.5819	3.56E-2	0.2935	0.1800	0.1912	0.3353	1.0858E-3	0.110	0.375	34.495
136000000	6.6301	2.714E-2	0.2940	0.1790	0.1889	0.3381	1.0669E-3	0.266	0.418	35.265
137000000	6.0997	1.4253E-2	0.2932	0.1779	0.1930	0.3359	1.0366E-3	0.954	0.410	35.024
138000000	6.3797	8.6128E-3	0.2955	0.1797	0.1906	0.3342	1.2839E-3	0.439	0.389	31.995
139000000	6.3728	5.838E-2	0.2937	0.1796	0.1922	0.3345	1.0875E-3	0.197	0.396	34.314
140000000	6.1429	4.4073E-2	0.2897	0.1813	0.1943	0.3348	1.1973E-3	0.230	0.377	32.451
141000000	6.3575	1.8791E-2	0.2921	0.1801	0.1902	0.3376	1.0902E-3	0.318	0.392	34.797
142000000	6.1085	5.3775E-2	0.2920	0.1790	0.1888	0.3401	1.1028E-3	0.759	0.435	35.356
143000000	6.4307	6.1772E-2	0.2977	0.1779	0.1911	0.3334	1.1004E-3	0.617	0.422	35.492
144000000	5.6848	2.2384E-2	0.2893	0.1800	0.1944	0.3363	1.119E-3	0.562	0.412	34.223
145000000	6.5248	4.1811E-2	0.2943	0.1757	0.1923	0.3376	1.1147E-3	1.406	0.362	35.957
146000000	5.9652	5.5239E-2	0.2904	0.1776	0.1947	0.3373	1.1366E-3	0.502	0.483	33.918
147000000	5.8042	1.6301E-2	0.2935	0.1797	0.1928	0.3340	1.1333E-3	0.497	0.409	34.114
148000000	5.5958	3.8609E-2	0.2996	0.1743	0.1905	0.3356	1.2341E-3	1.186	0.378	31.772
149000000	6.1419	2.7729E-2	0.2916	0.1790	0.1949	0.3346	1.2214E-3	0.261	0.423	32.367
150000000	6.2366	5.1894E-2	0.2932	0.1743	0.1918	0.3407	1.106E-3	0.549	0.428	33.655
151000000	5.7551	3.0564E-2	0.2924	0.1757	0.1938	0.3381	1.1926E-3	1.401	0.423	34.189
152000000	6.0962	1.0086E-2	0.2949	0.1793	0.1902	0.3356	1.1114E-3	0.955	0.410	34.441
153000000	5.6805	4.5993E-2	0.2956	0.1790	0.1903	0.3350	1.1433E-3	1.062	0.387	32.905
154000000	6.0526	4.0974E-2	0.2925	0.1765	0.1920	0.3390	1.06E-3	0.493	0.386	34.927
155000000	5.2512	3.969E-2	0.2928	0.1808	0.1884	0.3379	1.1338E-3	0.468	0.373	33.041
156000000	5.8510	3.9332E-2	0.2946	0.1792	0.1889	0.3372	1.2113E-3	0.904	0.400	33.536
157000000	6.2816	9.7196E-2	0.3005	0.1796	0.1901	0.3298	1.1624E-3	0.349	0.400	33.347
158000000	6.3206	3.2774E-2	0.2978	0.1825	0.1874	0.3324	1.0657E-3	1.435	0.408	34.611
159000000	5.6128	3.9761E-2	0.2971	0.1768	0.1942	0.3320	1.0208E-3	0.770	0.425	36.385
160000000	5.8863	1.1747E-2	0.2905	0.1789	0.1937	0.3369	1.1147E-3	0.920	0.383	34.883
161000000	5.3891	5.4792E-3	0.2915	0.1800	0.1877	0.3408	1.1438E-3	0.180	0.370	32.891
162000000	5.7740	5.3171E-2	0.2886	0.1803	0.1902	0.3410	1.0675E-3	0.268	0.370	34.544
163000000	5.8455	6.5708E-2	0.2931	0.1768	0.1913	0.3388	1.0799E-3	0.304	0.418	34.319
164000000	5.8766	8.0682E-2	0.2917	0.1854	0.1881	0.3348	1.1415E-3	0.816	0.388	32.681
165000000	5.6367	5.7864E-2	0.2954	0.1802	0.1925	0.3319	1.154E-3	0.865	0.400	34.065
166000000	5.5800	3.7301E-2	0.2895	0.1808	0.1925	0.3372	1.0306E-3	0.557	0.378	35.751
167000000	5.9495	1.4673E-2	0.2906	0.1832	0.1897	0.3365	1.101E-3	0.409	0.434	35.016
168000000	5.8387	1.6055E-2	0.2924	0.1813	0.1927	0.3336	1.0749E-3	0.773	0.398	36.018
169000000	6.6015	3.5075E-2	0.2936	0.1807	0.1887	0.3371	1.0758E-3	0.249	0.380	36.287
170000000	6.2556	2.1502E-2	0.2977	0.1786	0.1910	0.3327	1.0618E-3	0.586	0.422	35.516
171000000	5.9785	4.5549E-2	0.2997	0.1796	0.1909	0.3298	1.0207E-3	0.739	0.418	35.899
172000000	6.2601	5.2418E-3	0.2929	0.1799	0.1926	0.3347	1.2067E-3	0.077	0.376	33.447
173000000	5.6223	4.4992E-2	0.2935	0.1778	0.1932	0.3356	1.1409E-3	0.618	0.369	34.765
