state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
55000000	0.900	-0.708	0.426	1.897	1.683	1.576	0.836	-0.725	0.529	0.479	0.423	-1.610	-3.638	-3.797	-3.126	-2.440	-2.613	-4.139	-4.645	-2.281
56000000	0.406	-0.811	0.022	2.441	1.388	2.218	0.251	-0.345	-0.544	0.333	0.893	-1.832	-2.581	-3.669	-4.164	-3.984	-3.376	-3.592	-3.123	-3.476
57000000	1.408	-1.082	0.269	2.282	1.557	1.851	0.733	-0.847	0.204	0.236	0.516	-1.011	-3.459	0.322	-2.356	-3.183	-3.554	-2.087	1.725	0.030
58000000	-0.343	-0.630	0.758	1.545	1.728	1.701	0.207	-0.273	0.234	0.655	-0.095	-2.271	-3.258	-2.869	-3.693	-4.589	-4.805	-3.981	-4.222	-4.313
59000000	0.881	-0.614	0.475	1.840	2.043	1.608	0.741	-0.564	1.295	0.626	0.103	-0.366	-2.679	-3.086	-4.562	-2.836	-0.451	-0.985	-0.947	-1.391
60000000	0.281	-0.592	-0.042	1.652	1.439	2.285	0.463	-0.473	0.194	0.791	0.429	-2.262	-2.954	-2.470	-2.830	-5.074	-5.185	-5.008	-6.724	-6.434
61000000	0.740	-0.215	0.416	1.533	1.673	2.007	0.486	-0.093	0.543	0.866	0.749	-2.078	-2.808	-3.846	-2.796	-5.264	-7.226	-8.297	-8.409	-9.595
62000000	0.948	-0.916	0.046	1.479	1.768	1.763	0.648	-0.637	1.199	0.102	0.647	-2.716	-2.486	-1.526	-2.229	-4.448	-4.451	-4.296	-4.524	-2.807
63000000	1.012	-0.222	0.616	1.673	1.660	1.759	0.222	-0.640	0.277	0.295	0.895	-1.960	-2.290	-1.370	-1.633	-4.196	-4.311	-5.409	-5.128	-2.974
64000000	1.761	0.277	0.172	1.656	1.491	1.522	0.306	-0.542	0.260	0.081	0.469	-1.495	-2.814	-2.652	-3.678	-3.564	-4.498	-5.467	-5.582	-5.698
65000000	0.690	0.422	0.426	1.405	1.751	1.831	0.534	-0.479	0.344	0.261	0.695	-2.305	-3.103	-0.591	-1.582	-6.157	-7.004	-6.971	-7.968	-7.372
66000000	1.747	-1.058	0.433	2.438	1.250	2.409	0.074	-0.179	0.189	0.272	1.042	-1.909	-3.140	-0.788	-1.412	-1.652	-3.733	-5.989	-5.657	-6.069
67000000	0.298	-0.121	0.222	2.208	1.565	1.880	0.508	-0.761	0.651	0.625	0.003	-1.332	-2.356	0.175	-1.304	-2.631	-5.431	-6.030	-8.105	-8.561
68000000	0.551	-0.614	0.211	1.854	1.915	2.000	0.552	-0.404	1.060	0.485	0.967	-1.457	-2.622	-3.408	-1.354	-3.309	-3.070	-2.044	-2.102	-1.669
69000000	1.813	-0.684	0.331	2.774	1.427	1.942	1.132	-0.725	0.194	0.649	1.549	-1.345	-4.193	-4.701	-2.973	-2.138	-3.656	-2.944	-4.537	-2.384
70000000	1.999	-0.463	0.365	2.011	1.827	2.127	0.466	-0.626	0.080	1.023	0.379	-1.765	-3.137	-4.160	-2.722	-0.192	-2.421	-3.645	-4.994	-2.057
71000000	0.096	-1.033	-0.011	2.028	1.931	1.454	0.508	-0.457	0.181	0.714	0.792	-1.872	-3.441	-0.765	-1.978	-1.587	-1.749	-1.159	-1.245	-1.601
72000000	0.788	-0.937	0.839	2.107	1.590	1.967	0.398	-0.208	-0.154	1.086	0.754	-1.790	-3.778	-3.325	-2.615	-3.660	-3.934	-2.821	-3.641	-1.847
73000000	0.168	-0.546	0.560	2.343	1.613	1.426	0.336	-0.659	0.088	0.102	0.058	-1.398	-2.629	-1.187	-1.516	-4.827	-7.125	-6.755	-5.658	-5.438
74000000	-0.940	-0.264	-0.340	2.511	1.300	1.733	0.624	-0.603	0.412	0.225	0.085	-2.241	-3.674	-1.637	-3.646	-5.502	-4.539	-4.674	-4.346	-3.945
75000000	1.156	-0.510	0.129	1.555	1.364	1.724	0.678	-0.758	0.734	0.052	-0.149	-1.191	-3.021	-3.922	-2.386	-2.340	-0.820	-0.988	-1.825	-3.037
76000000	1.210	-0.587	0.059	1.499	2.372	1.524	0.742	-0.342	1.121	-0.058	0.846	-1.820	-3.241	-3.766	-3.975	-5.572	-6.093	-2.809	-3.188	-4.280
77000000	1.243	-0.753	0.112	1.423	1.901	1.317	0.947	-0.824	0.772	0.922	-0.139	-1.897	-3.590	-3.801	-4.731	-3.791	-3.396	-5.116	-5.895	-7.101
78000000	-0.824	-1.169	0.191	1.954	1.702	1.666	0.128	-0.279	-0.166	0.714	-0.308	-1.663	-1.562	-2.429	-2.527	-2.820	-3.215	-3.432	-5.051	-4.739
79000000	-0.582	-0.719	0.257	1.676	1.560	1.880	0.709	-0.798	0.071	1.799	0.117	-2.836	-2.700	-1.736	-1.293	-1.922	-2.092	-5.774	-7.264	-6.456
80000000	0.809	-0.646	0.139	2.008	1.155	2.027	0.691	-1.019	0.117	0.797	-0.198	-2.099	-3.341	-2.400	-4.858	-3.183	-1.859	-1.257	-0.656	1.524
