state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
26000000	8.824	10.405	16.524	7.019	0.1025	3.2889E-2	0.3747	0.5206	0.5307	0.5023	1.4126	1.5995	0.3026	0.2275	0.2726	0.1973	0.3156	0.2421	0.1704	0.2719	0.2955	0.2088	0.1923	0.3034	0.3485	0.1854	0.1641	0.3020	1.2376E-3	9.4929E-4	1.1646E-3	0.7721	1.2879E-2	3.392	1.971	131.746
27000000	8.809	16.555	12.674	8.404	0.3164	2.1635E-2	0.5278	0.3168	0.5433	0.5386	1.4139	1.5452	0.3017	0.2319	0.2784	0.1880	0.3275	0.2283	0.1666	0.2775	0.2957	0.2197	0.1928	0.2918	0.3518	0.2000	0.1622	0.2861	1.2193E-3	9.0009E-4	1.1568E-3	0.7297	-1.41E-2	1.898	2.002	131.546
28000000	8.327	12.785	14.731	7.677	0.1664	5.0509E-2	0.5256	0.4334	0.4841	0.5004	1.4607	1.6000	0.3068	0.2200	0.2710	0.2022	0.3136	0.2469	0.1591	0.2803	0.2915	0.2127	0.1951	0.3007	0.3405	0.1917	0.1614	0.3064	1.2421E-3	8.8186E-4	1.1776E-3	0.7197	2.4712E-2	5.520	1.966	130.357
29000000	10.699	11.763	13.495	9.294	0.2394	6.0063E-2	0.5279	0.4344	0.4911	0.5253	1.4735	1.5517	0.3065	0.2323	0.2689	0.1923	0.3233	0.2319	0.1688	0.2760	0.2983	0.2014	0.1959	0.3043	0.3507	0.1911	0.1648	0.2934	1.2779E-3	8.2233E-4	1.1929E-3	0.6570	7.0684E-3	3.550	1.969	129.151
30000000	9.125	12.187	12.602	8.011	0.1549	1.9651E-2	0.7840	0.2925	0.5666	0.4965	1.4423	1.5349	0.3071	0.2339	0.2668	0.1922	0.3150	0.2325	0.1722	0.2803	0.2890	0.2108	0.1949	0.3053	0.3369	0.1934	0.1657	0.3040	1.2918E-3	9.5561E-4	1.2183E-3	0.7552	-2.3226E-3	2.574	2.031	127.866
31000000	9.743	9.364	13.270	9.338	0.1897	2.5043E-2	0.5438	0.3736	0.5527	0.4362	1.5279	1.5226	0.3100	0.2242	0.2701	0.1957	0.3279	0.2372	0.1669	0.2680	0.2870	0.2108	0.1999	0.3023	0.3368	0.1895	0.1708	0.3030	1.2614E-3	1.0595E-3	1.1968E-3	0.8032	8.7026E-5	2.368	1.934	130.380
32000000	9.225	11.576	11.367	9.013	0.1571	4.4008E-2	0.8378	0.3108	0.5388	0.5290	1.4171	1.5570	0.2976	0.2402	0.2798	0.1824	0.3091	0.2414	0.1777	0.2719	0.2926	0.2075	0.1926	0.3073	0.3384	0.1951	0.1624	0.3041	1.2947E-3	1.0024E-3	1.2058E-3	0.7674	7.4534E-3	2.131	2.003	129.370
33000000	9.130	14.922	13.228	9.252	0.2504	2.3936E-2	0.9966	0.4606	0.5712	0.5045	1.4303	1.5342	0.2998	0.2296	0.2810	0.1895	0.3190	0.2372	0.1580	0.2857	0.2896	0.2159	0.1903	0.3042	0.3380	0.1964	0.1693	0.2963	1.2292E-3	9.3179E-4	1.1865E-3	0.7821	2.1817E-2	3.423	1.884	129.932
34000000	7.696	13.473	12.064	7.465	0.2094	8.5108E-3	0.5862	0.3957	0.5127	0.5094	1.4574	1.5629	0.2947	0.2287	0.2835	0.1932	0.3098	0.2351	0.1740	0.2811	0.3018	0.2078	0.1993	0.2911	0.3378	0.2028	0.1603	0.2991	1.2207E-3	8.4634E-4	1.1937E-3	0.7080	8.028E-3	3.602	1.930	129.192
35000000	8.947	14.487	14.641	9.279	0.2484	5.577E-2	0.6437	0.4283	0.5688	0.5144	1.3677	1.5937	0.2979	0.2289	0.2822	0.1911	0.3239	0.2388	0.1768	0.2605	0.2751	0.2188	0.1977	0.3083	0.3415	0.1877	0.1678	0.3031	1.311E-3	1.0665E-3	1.2315E-3	0.8051	3.3722E-2	2.305	1.888	128.206
36000000	7.899	13.966	14.011	8.154	0.1781	3.7684E-2	0.5638	0.3994	0.5185	0.4929	1.4121	1.6233	0.3045	0.2289	0.2791	0.1875	0.3041	0.2364	0.1801	0.2794	0.2878	0.2150	0.2032	0.2940	0.3527	0.1871	0.1619	0.2982	1.2164E-3	9.2561E-4	1.1386E-3	0.7603	-1.2402E-2	1.509	1.913	131.707
37000000	10.582	10.077	14.014	8.694	0.2378	6.3082E-2	0.4930	0.3255	0.5219	0.4978	1.3912	1.6370	0.3050	0.2210	0.2804	0.1935	0.3314	0.2265	0.1738	0.2683	0.2915	0.2101	0.1933	0.3051	0.3430	0.1923	0.1596	0.3051	1.2178E-3	8.9597E-4	1.1519E-3	0.7383	1.0056E-3	2.711	1.967	129.222
38000000	10.264	15.679	14.209	8.776	8.6111E-2	6.3602E-2	0.8195	0.4885	0.5101	0.5683	1.3829	1.5826	0.3028	0.2204	0.2729	0.2038	0.3099	0.2484	0.1732	0.2686	0.2847	0.2126	0.2037	0.2990	0.3511	0.2048	0.1573	0.2868	1.2343E-3	8.9815E-4	1.1472E-3	0.7160	1.0774E-2	1.886	2.034	133.069
39000000	10.803	15.141	12.833	7.640	0.2306	2.2018E-2	0.6112	0.3470	0.5223	0.5081	1.4294	1.5841	0.3023	0.2232	0.2860	0.1884	0.3126	0.2442	0.1724	0.2708	0.2990	0.2209	0.1901	0.2900	0.3424	0.1886	0.1737	0.2953	1.1913E-3	8.3561E-4	1.1447E-3	0.7054	3.1707E-2	2.116	1.881	133.191
