state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
152000000	4.4330	0.1533	0.2626	0.1682	0.1814	0.3878	6.6368E-4	0.550	0.932	356.497
153000000	4.3411	0.1489	0.2646	0.1688	0.1746	0.3920	6.772E-4	0.576	0.790	346.047
154000000	4.0548	0.1442	0.2623	0.1679	0.1773	0.3926	6.7177E-4	0.550	0.958	356.001
155000000	4.3013	0.1556	0.2613	0.1631	0.1771	0.3985	6.6675E-4	0.380	0.858	353.299
156000000	4.3347	0.1505	0.2641	0.1695	0.1755	0.3909	6.6473E-4	0.480	0.838	351.290
157000000	4.3373	0.1451	0.2669	0.1674	0.1733	0.3924	6.4884E-4	0.455	0.919	355.823
158000000	4.3913	0.1437	0.2673	0.1665	0.1775	0.3887	6.4981E-4	0.869	0.862	346.795
159000000	4.1545	0.1340	0.2676	0.1677	0.1742	0.3905	6.8068E-4	0.647	0.847	344.166
160000000	4.2635	0.1480	0.2687	0.1665	0.1759	0.3888	6.6693E-4	0.800	0.916	344.777
161000000	4.2677	0.1421	0.2601	0.1697	0.1737	0.3965	6.7501E-4	0.647	0.957	345.779
162000000	4.2267	0.1513	0.2631	0.1706	0.1784	0.3880	6.868E-4	0.522	0.862	345.133
163000000	4.1745	0.1450	0.2672	0.1697	0.1735	0.3896	6.7311E-4	0.320	0.801	345.383
164000000	4.1671	0.1496	0.2604	0.1727	0.1727	0.3942	6.7361E-4	0.503	0.817	347.880
165000000	4.2777	0.1384	0.2603	0.1672	0.1783	0.3942	6.9036E-4	1.029	0.903	345.663
166000000	4.3126	0.1580	0.2641	0.1670	0.1777	0.3913	6.6284E-4	0.408	0.795	351.768
167000000	4.3772	0.1466	0.2615	0.1730	0.1768	0.3886	6.6696E-4	0.710	0.823	351.792
168000000	4.3978	0.1480	0.2626	0.1665	0.1772	0.3937	6.7348E-4	0.624	0.822	355.368
169000000	4.3416	0.1441	0.2598	0.1705	0.1738	0.3959	6.4327E-4	0.198	0.821	354.066
170000000	4.2425	0.1501	0.2626	0.1716	0.1746	0.3912	6.706E-4	0.500	0.881	354.341
171000000	4.3789	0.1497	0.2650	0.1634	0.1779	0.3937	6.6562E-4	0.662	0.904	352.385
172000000	4.1919	0.1470	0.2673	0.1675	0.1752	0.3900	6.6377E-4	0.534	0.812	352.948
173000000	4.4873	0.1566	0.2647	0.1676	0.1767	0.3910	6.4669E-4	0.741	0.831	356.970
174000000	4.6277	0.1369	0.2650	0.1641	0.1774	0.3935	6.3793E-4	0.473	0.987	360.023
175000000	4.3847	0.1435	0.2617	0.1716	0.1746	0.3922	6.4965E-4	0.346	1.004	356.092
176000000	4.4069	0.1550	0.2636	0.1655	0.1793	0.3916	6.7789E-4	0.711	0.814	348.738
177000000	4.3197	0.1497	0.2669	0.1694	0.1767	0.3870	6.7529E-4	0.358	0.824	347.754
178000000	4.1750	0.1445	0.2617	0.1692	0.1767	0.3925	6.8585E-4	1.151	0.811	349.509
179000000	4.2864	0.1525	0.2646	0.1707	0.1728	0.3920	6.3905E-4	0.478	0.812	361.495
180000000	4.3253	0.1559	0.2600	0.1693	0.1770	0.3937	6.3623E-4	0.639	1.074	364.580
181000000	4.3475	0.1399	0.2654	0.1712	0.1771	0.3863	6.4926E-4	0.147	0.807	359.274
182000000	4.5063	0.1519	0.2614	0.1693	0.1760	0.3933	6.3665E-4	0.466	0.946	360.071
