taxon	date
A/Chongqing/968/2005	2005-10-25
A/Chongqing/970/2005	2005-10-27
A/Chongqing/975/2005	2005-10-30
A/Chongqing/977/2005	2005-10-31
A/Chonnam/07/2002	2002
A/Chonnam/18/2002	2002
A/Chonnam/19/2002	2002
A/Chonnam/51/2002	2002
A/Christchurch/106/2004	2004-09-13
A/Christchurch/20/2008	2008-08-02
A/Christchurch/62/2007	2007-08-30
A/Chungbuk/1183/2005	2005-12-26
A/Chungbuk/4383/2008	2008-11-29
A/Chungbuk/4448/2008	2008-12-12
A/Chungbuk/4543/2007	2007-11-27
A/Chungbuk/50/2002	2002
A/Chungnam/1077/2008	2008-01-29
A/Chungnam/2463/2007	2007-05-08
A/Chungnam/4547/2007	2007-12-15
A/Colombia/11730/2008	2008-02-02
A/Colorado/20/2005	2005-11-16
A/Colorado/UR06-0496/2007	2007-03-01
A/Colorado/UR06-0498/2007	2007-03-05
A/Constanta/114/2008	2008-01-10
A/Corsica/07/2007	2007-02-21
A/Coyhaique/10459/2008	2008-07-12
A/Cusco/WRAIR1730P/2008	2008-08-21
A/DaNang/DN238/2008	2008-07-02
A/DaNang/DN302/2008	2008-08-20
A/DaNang/DN329/2008	2008-09-06
A/DaNang/DN345/2008	2008-09-18
A/DaNang/DN365/2008	2008-10-01
A/DaNang/DN431/2008	2008-11-11
A/DaNang/DN432/2008	2008-11-12
A/DaNang/DN467/2008	2008-12-04
A/Daejeion/1000/2005	2005-12-21
A/Daejeon/41/2006	2006-01-03
A/Darwin/2/2008	2008-09-23
A/Darwin/3/2008	2008-09-23
A/Darwin/5/2001	2001-08-02
A/Delhi/0512582/2005	2005-02-11
A/Delhi/0512583/2005	2005-03-16
A/Delhi/0512588/2005	2005-08-09
A/Delhi/0512589/2005	2005-08-11
A/Delhi/0512590/2005	2005-08-18
A/Delhi/0612413/2005	2005-08-12
A/Delhi/0612420/2005	2005-12-16
A/Delhi/0612427/2006	2006-02-08
A/Delhi/0635417/2005	2005-12-07
A/Delhi/0635418/2005	2005-12-19
A/Delhi/0635424/2006	2006-02-22
A/Delhi/0635429/2006	2006-02-22
A/Delhi/0635430/2006	2006-07-05
A/Delhi/0635432/2006	2006-08-25
A/Delhi/078743/2007	2007-07-18
A/Delhi/078744/2007	2007-07-17
A/Delhi/078746/2007	2007-07-19
A/Delhi/078747/2007	2007-07-02
A/Delhi/078748/2007	2007-07-27
A/Delhi/078749/2007	2007-06-26
