taxon	date
Manitoba.CAN/43.16/11/G|2016-10-26|north_america|canada|manitoba	2016-10-26
Manitoba.CAN/43.16/5/G|2016-10-25|north_america|canada|manitoba	2016-10-25
Manitoba.CAN/44.16/15/G|2016-11-02|north_america|canada|manitoba	2016-11-02
Manitoba.CAN/47.16/4/G|2016-10-25|north_america|canada|manitoba	2016-10-25
Massachusetts.USA/10.16/1/G|2016-03-07|north_america|usa|massachusetts	2016-03-07
Massachusetts.USA/10.16/10/G|2016-03-12|north_america|usa|massachusetts	2016-03-12
Massachusetts.USA/10.16/12/G|2016-03-12|north_america|usa|massachusetts	2016-03-12
Massachusetts.USA/10.16/13/G|2016-03-14|north_america|usa|massachusetts	2016-03-14
Massachusetts.USA/10.16/14/G|2016-03-15|north_america|usa|massachusetts	2016-03-15
Massachusetts.USA/10.16/2/G|2016-03-08|north_america|usa|massachusetts	2016-03-08
Massachusetts.USA/10.16/3/G|2016-03-09|north_america|usa|massachusetts	2016-03-09
Massachusetts.USA/10.16/4/G|2016-03-10|north_america|usa|massachusetts	2016-03-10
Massachusetts.USA/10.16/5/G|2016-03-10|north_america|usa|massachusetts	2016-03-10
Massachusetts.USA/10.16/6/G|2016-03-09|north_america|usa|massachusetts	2016-03-09
Massachusetts.USA/10.16/7/G|2016-03-10|north_america|usa|massachusetts	2016-03-10
Massachusetts.USA/10.16/8/G|2016-03-12|north_america|usa|massachusetts	2016-03-12
Massachusetts.USA/10.16/9/G|2016-03-10|north_america|usa|massachusetts	2016-03-10
Massachusetts.USA/11.16/1/G|2016-03-14|north_america|usa|massachusetts	2016-03-14
Massachusetts.USA/11.16/2/G|2016-03-15|north_america|usa|massachusetts	2016-03-15
Massachusetts.USA/11.16/3/G|2016-03-16|north_america|usa|massachusetts	2016-03-16
Massachusetts.USA/11.16/4/G|2016-03-18|north_america|usa|massachusetts	2016-03-18
Massachusetts.USA/11.16/5/G|2016-03-20|north_america|usa|massachusetts	2016-03-20
Massachusetts.USA/11.16/6/G|2016-03-22|north_america|usa|massachusetts	2016-03-22
Massachusetts.USA/12.16/1/G|2016-03-23|north_america|usa|massachusetts	2016-03-23
Massachusetts.USA/12.16/2/G|2016-03-24|north_america|usa|massachusetts	2016-03-24
Massachusetts.USA/12.16/3/G|2016-03-25|north_america|usa|massachusetts	2016-03-25
Massachusetts.USA/12.16/4/G|2016-03-27|north_america|usa|massachusetts	2016-03-27
Massachusetts.USA/12.16/5/G|2016-03-22|north_america|usa|massachusetts	2016-03-22
Massachusetts.USA/13.16/1/G|2016-03-31|north_america|usa|massachusetts	2016-03-31
Massachusetts.USA/13.16/2/G|2016-03-30|north_america|usa|massachusetts	2016-03-30
Massachusetts.USA/13.16/3/G|2016-03-31|north_america|usa|massachusetts	2016-03-31
Massachusetts.USA/13.16/4/G|2016-04-01|north_america|usa|massachusetts	2016-04-01
Massachusetts.USA/13.17/2/G|2017-03-28|north_america|usa|massachusetts	2017-03-28
Massachusetts.USA/14.16/1/G|2016-04-08|north_america|usa|massachusetts	2016-04-08
Massachusetts.USA/14.16/2/G|2016-04-08|north_america|usa|massachusetts	2016-04-08
Massachusetts.USA/14.16/3/G|2016-04-12|north_america|usa|massachusetts	2016-04-12
Massachusetts.USA/14.17/2/G|2017-04-10|north_america|usa|massachusetts	2017-04-10
Massachusetts.USA/14.17/G|2017-04-02|north_america|usa|massachusetts	2017-04-02
Massachusetts.USA/15.16/1/G|2016-04-12|north_america|usa|massachusetts	2016-04-12
Massachusetts.USA/15.16/2/G|2016-04-14|north_america|usa|massachusetts	2016-04-14
Massachusetts.USA/16.16/1/G|2016-04-19|north_america|usa|massachusetts	2016-04-19
Massachusetts.USA/16.16/10/G|2016-04-22|north_america|usa|massachusetts	2016-04-22
Massachusetts.USA/16.16/12/G|2016-04-21|north_america|usa|massachusetts	2016-04-21
Massachusetts.USA/16.16/13/G|2016-04-22|north_america|usa|massachusetts	2016-04-22
Massachusetts.USA/16.16/14/G|2016-04-22|north_america|usa|massachusetts	2016-04-22
Massachusetts.USA/16.16/15/G|2016-04-22|north_america|usa|massachusetts	2016-04-22
Massachusetts.USA/16.16/16/G|2016-04-23|north_america|usa|massachusetts	2016-04-23
Massachusetts.USA/16.16/17/G|2016-04-24|north_america|usa|massachusetts	2016-04-24
Massachusetts.USA/16.16/18/G|2016-04-25|north_america|usa|massachusetts	2016-04-25
Massachusetts.USA/16.16/19/G|2016-04-22|north_america|usa|massachusetts	2016-04-22
Massachusetts.USA/16.16/2/G|2016-04-19|north_america|usa|massachusetts	2016-04-19
Massachusetts.USA/16.16/3/G|2016-04-19|north_america|usa|massachusetts	2016-04-19
Massachusetts.USA/16.16/4/G|2016-04-19|north_america|usa|massachusetts	2016-04-19
Massachusetts.USA/16.16/5/G|2016-04-20|north_america|usa|massachusetts	2016-04-20
Massachusetts.USA/16.16/6/G|2016-04-20|north_america|usa|massachusetts	2016-04-20
Massachusetts.USA/16.16/7/G|2016-04-21|north_america|usa|massachusetts	2016-04-21
Massachusetts.USA/16.16/8/G|2016-04-21|north_america|usa|massachusetts	2016-04-21
Massachusetts.USA/16.16/9/G|2016-04-21|north_america|usa|massachusetts	2016-04-21
Massachusetts.USA/17.16/1/G|2016-04-25|north_america|usa|massachusetts	2016-04-25
Massachusetts.USA/17.16/10/G|2016-05-01|north_america|usa|massachusetts	2016-05-01
Massachusetts.USA/17.16/11/G|2016-04-30|north_america|usa|massachusetts	2016-04-30
Massachusetts.USA/17.16/12/G|2016-05-02|north_america|usa|massachusetts	2016-05-02
Massachusetts.USA/17.16/13/G|2016-05-02|north_america|usa|massachusetts	2016-05-02
Massachusetts.USA/17.16/2/G|2016-04-24|north_america|usa|massachusetts	2016-04-24
Massachusetts.USA/17.16/3/G|2016-04-25|north_america|usa|massachusetts	2016-04-25
Massachusetts.USA/17.16/4/G|2016-04-26|north_america|usa|massachusetts	2016-04-26
Massachusetts.USA/17.16/6/G|2016-04-25|north_america|usa|massachusetts	2016-04-25
Massachusetts.USA/17.16/7/G|2016-04-27|north_america|usa|massachusetts	2016-04-27
Massachusetts.USA/17.16/8/G|2016-04-26|north_america|usa|massachusetts	2016-04-26
Massachusetts.USA/17.16/9/G|2016-04-29|north_america|usa|massachusetts	2016-04-29
Massachusetts.USA/17.17/G|2017-04-23|north_america|usa|massachusetts	2017-04-23
Massachusetts.USA/18.16/1/G|2016-05-04|north_america|usa|massachusetts	2016-05-04
Massachusetts.USA/18.16/2/G|2016-05-05|north_america|usa|massachusetts	2016-05-05
Massachusetts.USA/18.16/3/G|2016-05-05|north_america|usa|massachusetts	2016-05-05
Massachusetts.USA/18.16/4/G|2016-05-08|north_america|usa|massachusetts	2016-05-08
Massachusetts.USA/19.16/1/G|2016-05-08|north_america|usa|massachusetts	2016-05-08
Massachusetts.USA/19.16/10/G|2016-05-14|north_america|usa|massachusetts	2016-05-14
Massachusetts.USA/19.16/11/G|2016-05-14|north_america|usa|massachusetts	2016-05-14
Massachusetts.USA/19.16/2/G|2016-05-09|north_america|usa|massachusetts	2016-05-09
Massachusetts.USA/19.16/3/G|2016-05-09|north_america|usa|massachusetts	2016-05-09
Massachusetts.USA/19.16/4/G|2016-05-09|north_america|usa|massachusetts	2016-05-09
Massachusetts.USA/19.16/5/G|2016-05-09|north_america|usa|massachusetts	2016-05-09
Massachusetts.USA/19.16/6/G|2016-05-09|north_america|usa|massachusetts	2016-05-09
Massachusetts.USA/19.16/7/G|2016-05-10|north_america|usa|massachusetts	2016-05-10
Massachusetts.USA/19.16/8/G|2016-05-11|north_america|usa|massachusetts	2016-05-11
Massachusetts.USA/19.16/9/G|2016-05-13|north_america|usa|massachusetts	2016-05-13
Massachusetts.USA/19.17/3/G|2017-05-14|north_america|usa|massachusetts	2017-05-14
Massachusetts.USA/19.17/4/G|2017-05-14|north_america|usa|massachusetts	2017-05-14
Massachusetts.USA/19.17/G|2017-05-11|north_america|usa|massachusetts	2017-05-11
Massachusetts.USA/20.16/1/G|2016-05-18|north_america|usa|massachusetts	2016-05-18
Massachusetts.USA/20.16/2/G|2016-05-20|north_america|usa|massachusetts	2016-05-20
Massachusetts.USA/21.16/1/G|2016-05-24|north_america|usa|massachusetts	2016-05-24
Massachusetts.USA/21.17/2/G|2017-05-30|north_america|usa|massachusetts	2017-05-30
Massachusetts.USA/21.17/G|2017-05-26|north_america|usa|massachusetts	2017-05-26
Massachusetts.USA/22.16/1/G|2016-06-03|north_america|usa|massachusetts	2016-06-03
Massachusetts.USA/22.16/2/G|2016-06-03|north_america|usa|massachusetts	2016-06-03
Massachusetts.USA/22.16/3/G|2016-06-03|north_america|usa|massachusetts	2016-06-03
Massachusetts.USA/22.17/2/G|2017-05-30|north_america|usa|massachusetts	2017-05-30
Massachusetts.USA/22.17/3/G|2017-05-30|north_america|usa|massachusetts	2017-05-30
Massachusetts.USA/22.17/4/G|2017-05-31|north_america|usa|massachusetts	2017-05-31
Massachusetts.USA/22.17/5/G|2017-05-31|north_america|usa|massachusetts	2017-05-31
Massachusetts.USA/22.17/6/G|2017-05-31|north_america|usa|massachusetts	2017-05-31
Massachusetts.USA/22.17/8/G|2017-06-04|north_america|usa|massachusetts	2017-06-04
Massachusetts.USA/22.17/9/G|2017-06-05|north_america|usa|massachusetts	2017-06-05
Massachusetts.USA/22.17/G|2017-05-30|north_america|usa|massachusetts	2017-05-30
Massachusetts.USA/23.17/G|2017-06-05|north_america|usa|massachusetts	2017-06-05
Massachusetts.USA/24.17/2/G|2017-06-14|north_america|usa|massachusetts	2017-06-14
Massachusetts.USA/24.17/3/G|2017-06-17|north_america|usa|massachusetts	2017-06-17
Massachusetts.USA/24.17/4/G|2017-06-19|north_america|usa|massachusetts	2017-06-19
Massachusetts.USA/24.17/G|2017-06-14|north_america|usa|massachusetts	2017-06-14
Massachusetts.USA/25.17/2/G|2017-06-20|north_america|usa|massachusetts	2017-06-20
Massachusetts.USA/25.17/3/G|2017-06-21|north_america|usa|massachusetts	2017-06-21
Massachusetts.USA/25.17/4/G|2017-06-21|north_america|usa|massachusetts	2017-06-21
Massachusetts.USA/25.17/5/G|2017-06-21|north_america|usa|massachusetts	2017-06-21
Massachusetts.USA/25.17/6/G|2017-06-21|north_america|usa|massachusetts	2017-06-21
Massachusetts.USA/25.17/7/G|2017-06-23|north_america|usa|massachusetts	2017-06-23
Massachusetts.USA/25.17/G|2017-06-19|north_america|usa|massachusetts	2017-06-19
Massachusetts.USA/26.15/1/G|2015-07-04|north_america|usa|massachusetts	2015-07-04
Massachusetts.USA/26.17/G|2017-06-29|north_america|usa|massachusetts	2017-06-29
Massachusetts.USA/27.16/1/G|2016-07-09|north_america|usa|massachusetts	2016-07-09
Massachusetts.USA/27.16/2/G|2016-07-12|north_america|usa|massachusetts	2016-07-12
Massachusetts.USA/30.16/1/G|2016-08-01|north_america|usa|massachusetts	2016-08-01
Massachusetts.USA/33.16/1/G|2016-08-19|north_america|usa|massachusetts	2016-08-19
Massachusetts.USA/37.15/1/G|2015-09-15|north_america|usa|massachusetts	2015-09-15
Massachusetts.USA/39.16/1/G|2016-10-03|north_america|usa|massachusetts	2016-10-03
Massachusetts.USA/42.16/1/G|2016-10-21|north_america|usa|massachusetts	2016-10-21
Massachusetts.USA/43.16/1/G|2016-10-24|north_america|usa|massachusetts	2016-10-24
Massachusetts.USA/43.16/2/G|2016-10-26|north_america|usa|massachusetts	2016-10-26
Massachusetts.USA/44.16/1/G|2016-10-31|north_america|usa|massachusetts	2016-10-31
Massachusetts.USA/45.16/1/G|2016-11-09|north_america|usa|massachusetts	2016-11-09
Massachusetts.USA/45.16/2/G|2016-11-09|north_america|usa|massachusetts	2016-11-09
Massachusetts.USA/45.16/3/G|2016-11-11|north_america|usa|massachusetts	2016-11-11
Massachusetts.USA/45.16/4/G|2016-11-11|north_america|usa|massachusetts	2016-11-11
Massachusetts.USA/45.16/5/G|2016-11-13|north_america|usa|massachusetts	2016-11-13
Massachusetts.USA/45.16/7/G|2016-11-15|north_america|usa|massachusetts	2016-11-15
Massachusetts.USA/46.16/1/G|2016-11-14|north_america|usa|massachusetts	2016-11-14
Massachusetts.USA/46.16/2/G|2016-11-14|north_america|usa|massachusetts	2016-11-14
Massachusetts.USA/46.16/4/G|2016-11-15|north_america|usa|massachusetts	2016-11-15
Massachusetts.USA/46.16/5/G|2016-11-17|north_america|usa|massachusetts	2016-11-17
Massachusetts.USA/46.16/6/G|2016-11-20|north_america|usa|massachusetts	2016-11-20
Massachusetts.USA/46.16/7/G|2016-11-17|north_america|usa|massachusetts	2016-11-17
Massachusetts.USA/50.16/1/G|2016-12-14|north_america|usa|massachusetts	2016-12-14
Massachusetts.USA/52.16/G|2016-12-27|north_america|usa|massachusetts	2016-12-27
Massachusetts.USA/8.16/1/G|2016-02-24|north_america|usa|massachusetts	2016-02-24
Massachusetts.USA/8.16/2/G|2016-02-24|north_america|usa|massachusetts	2016-02-24
Massachusetts.USA/8.16/3/G|2016-02-25|north_america|usa|massachusetts	2016-02-25
Massachusetts.USA/8.16/5/G|2016-02-25|north_america|usa|massachusetts	2016-02-25
Massachusetts.USA/8.16/6/G|2016-02-27|north_america|usa|massachusetts	2016-02-27
Massachusetts.USA/8.17/G|2017-02-19|north_america|usa|massachusetts	2017-02-19
Massachusetts.USA/9.16/1/G|2016-03-02|north_america|usa|massachusetts	2016-03-02
Massachusetts.USA/9.16/2/G|2016-03-06|north_america|usa|massachusetts	2016-03-06
Massachusetts.USA/9.16/3/G|2016-03-05|north_america|usa|massachusetts	2016-03-05
Massachusetts.USA/9.16/4/G|2016-03-08|north_america|usa|massachusetts	2016-03-08
Michigan.USA/12.14/G|2014-03-20|north_america|usa|michigan	2014-03-20
Michigan.USA/4.16/G|2016-01-26|north_america|usa|michigan	2016-01-26
Missouri.USA/11.17/G|2017-03-XX|north_america|usa|missouri	2017-03
Missouri.USA/15.17/2/G|2017-04-XX|north_america|usa|missouri	2017-04
Missouri.USA/15.17/3/G|2017-04-XX|north_america|usa|missouri	2017-04
Missouri.USA/15.17/G|2017-04-XX|north_america|usa|missouri	2017-04
Missouri.USA/19.17/G|2017-05-XX|north_america|usa|missouri	2017-05
Missouri.USA/2.17/G|2017-01-XX|north_america|usa|missouri	2017-01
Missouri.USA/24.17/G|2017-06-XX|north_america|usa|missouri	2017-06
Missouri.USA/28.17/G|2017-07-XX|north_america|usa|missouri	2017-07
Missouri.USA/29.15/G|2015-07-XX|north_america|usa|missouri	2015-07
Missouri.USA/32.16/G|2016-08-XX|north_america|usa|missouri	2016-08
Missouri.USA/33.17/G|2017-08-XX|north_america|usa|missouri	2017-08
Missouri.USA/41.16/G|2016-10-XX|north_america|usa|missouri	2016-10
Missouri.USA/46.16/2/G|2016-11-XX|north_america|usa|missouri	2016-11
Missouri.USA/46.16/G|2016-11-XX|north_america|usa|missouri	2016-11
Missouri.USA/50.16/G|2016-12-XX|north_america|usa|missouri	2016-12
Missouri.USA/7.17/G|2017-02-XX|north_america|usa|missouri	2017-02
Montana.USA/11.16/G|2016-03-15|north_america|usa|montana	2016-03-15
NewHampshire.USA/40.16/G|2016-10-07|north_america|usa|new_hampshire	2016-10-07
NewHampshire.USA/8.16/1/G|2016-02-25|north_america|usa|new_hampshire	2016-02-25
NewJersey.USA/16.14/2/G|2014-04-28|north_america|usa|new_jersey	2014-04-28
NewJersey.USA/49.14/G|2014-12-06|north_america|usa|new_jersey	2014-12-06
NewYork.USA.USA/51.14/G|2014-12-16|north_america|usa|new_york	2014-12-16
NewYork.USA/10.14/2/G|2014-03-03|north_america|usa|new_york	2014-03-03
NewYork.USA/10.14/3/G|2014-03-04|north_america|usa|new_york	2014-03-04
NewYork.USA/51.14/G|2014-12-16|north_america|usa|new_york	2014-12-16
NewYork.USA/8.14/G|2014-02-20|north_america|usa|new_york	2014-02-20
NewYork/10.14/2/G|2014-03-03|north_america|usa|new_york	2014-03-03
NorthCarolina.USA/11.17/G|2017-03-XX|north_america|usa|north_carolina	2017-03
NorthDakota.USA/14.17/G|2017-04-07|north_america|usa|north_dakota	2017-04-07
NorthDakota.USA/15.17/G|2017-04-13|north_america|usa|north_dakota	2017-04-13
NorthDakota.USA/9.17/G|2017-02-27|north_america|usa|north_dakota	2017-02-27
Ohio.USA/11.14/2/G|2014-03-16|north_america|usa|ohio	2014-03-16
Ohio.USA/11.17/G|2017-03-XX|north_america|usa|ohio	2017-03
Ohio.USA/12.14/9/G|2014-03-21|north_america|usa|ohio	2014-03-21
Ohio.USA/13.14/10/G|2014-03-30|north_america|usa|ohio	2014-03-30
Ohio.USA/13.14/6/G|2014-03-26|north_america|usa|ohio	2014-03-26
Ohio.USA/13.14/7/G|2014-03-25|north_america|usa|ohio	2014-03-25
Ohio.USA/16.14/1/G|2014-04-15|north_america|usa|ohio	2014-04-15
Ohio.USA/16.14/2/G|2014-04-15|north_america|usa|ohio	2014-04-15
Ohio.USA/19.16/G|2016-05-XX|north_america|usa|ohio	2016-05
Ohio.USA/2.17/G|2017-01-XX|north_america|usa|ohio	2017-01
Ohio.USA/2.18/G|2018-01-XX|north_america|usa|ohio	2018-01
Ohio.USA/46.17/G|2017-11-XX|north_america|usa|ohio	2017-11
Ohio.USA/7.17/G|2017-02-XX|north_america|usa|ohio	2017-02
Ontario.CAN/04.17/1/G|2017-01-23|north_america|canada|ontario	2017-01-23
Ontario.CAN/06.17/1/G|2017-02-06|north_america|canada|ontario	2017-02-06
Ontario.CAN/06.17/2/G|2017-02-07|north_america|canada|ontario	2017-02-07
Ontario.CAN/06.17/3/G|2017-02-08|north_america|canada|ontario	2017-02-08
Ontario.CAN/06.17/4/G|2017-02-06|north_america|canada|ontario	2017-02-06
Ontario.CAN/07.17/1/G|2017-02-15|north_america|canada|ontario	2017-02-15
Ontario.CAN/08.17/2/G|2017-02-19|north_america|canada|ontario	2017-02-19
Ontario.CAN/08.17/3/G|2017-02-24|north_america|canada|ontario	2017-02-24
Ontario.CAN/09.17/1/G|2017-02-28|north_america|canada|ontario	2017-02-28
Ontario.CAN/09.17/10/G|2017-03-01|north_america|canada|ontario	2017-03-01
Ontario.CAN/09.17/2/G|2017-02-23|north_america|canada|ontario	2017-02-23
Ontario.CAN/09.17/3/G|2017-02-24|north_america|canada|ontario	2017-02-24
Ontario.CAN/09.17/4/G|2017-02-25|north_america|canada|ontario	2017-02-25
Ontario.CAN/09.17/6/G|2017-02-27|north_america|canada|ontario	2017-02-27
Ontario.CAN/09.17/7/G|2017-02-27|north_america|canada|ontario	2017-02-27
Ontario.CAN/09.17/8/G|2017-02-28|north_america|canada|ontario	2017-02-28
Ontario.CAN/09.17/9/G|2017-02-28|north_america|canada|ontario	2017-02-28
Ontario.CAN/12.17/1/G|2017-03-20|north_america|canada|ontario	2017-03-20
Ontario.CAN/12.17/2/G|2017-03-21|north_america|canada|ontario	2017-03-21
Ontario.CAN/12.17/3/G|2017-03-20|north_america|canada|ontario	2017-03-20
