state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
105000000	7.1644	0.1421	0.3104	0.2210	0.2021	0.2665	4.9477E-4	377.329	22.774	213.262
106000000	6.7798	0.1231	0.3123	0.2194	0.2005	0.2678	5.3224E-4	51.984	18.992	184.557
107000000	7.0478	0.1372	0.3058	0.2234	0.1967	0.2740	5.4034E-4	19.323	21.302	185.402
108000000	7.4330	0.1179	0.3086	0.2195	0.2010	0.2709	5.399E-4	10.257	21.725	197.059
109000000	7.2716	0.2172	0.3033	0.2260	0.2026	0.2682	4.9912E-4	442.128	22.281	203.931
110000000	6.8620	0.1497	0.3174	0.2146	0.1998	0.2682	5.0622E-4	88.461	21.173	201.025
111000000	6.9259	0.1680	0.3161	0.2171	0.2024	0.2645	5.4139E-4	27.777	21.532	197.277
112000000	6.8089	0.1023	0.3047	0.2187	0.2023	0.2743	5.5245E-4	238.920	18.920	181.187
113000000	7.2359	0.1137	0.3142	0.2161	0.1974	0.2723	5.4731E-4	69.508	21.890	189.022
114000000	6.2799	0.1175	0.3052	0.2213	0.2059	0.2676	5.0902E-4	36.462	22.857	203.958
115000000	6.5554	0.1909	0.3113	0.2165	0.2009	0.2713	5.5357E-4	26.523	21.722	193.400
116000000	6.5333	0.1049	0.3075	0.2204	0.1996	0.2725	5.2371E-4	9.426	21.735	198.498
117000000	7.1598	0.1505	0.3100	0.2179	0.2004	0.2716	5.368E-4	22.558	20.029	187.005
118000000	6.8926	0.1210	0.3000	0.2196	0.2052	0.2752	5.3247E-4	126.462	21.225	195.410
119000000	6.7866	0.1611	0.3078	0.2223	0.2002	0.2697	5.3668E-4	7.203	20.004	189.550
120000000	7.2342	0.1420	0.3057	0.2188	0.2011	0.2744	5.8486E-4	43.612	19.261	188.099
121000000	7.1014	0.1414	0.3039	0.2281	0.2007	0.2672	5.3959E-4	177.040	20.541	189.776
122000000	6.9848	0.1787	0.3051	0.2241	0.2033	0.2675	5.4751E-4	50.077	22.157	192.720
