state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
82000000	0.1060	2.5406	0.1875	7.4384E-2	3.0230	6.854E-2	0.3740	0.2970	0.2065	0.2175	0.2789	8.0025E-4	9.1382E-5	7.9122E-4	0.1143	-4.1512E-2	8.369	1188.795	21956.901
83000000	0.1108	2.4985	0.1911	7.3461E-2	3.0612	6.4987E-2	0.3829	0.2983	0.2031	0.2255	0.2732	7.7354E-4	8.3984E-5	7.7004E-4	0.1058	-4.7498E-3	17.694	1108.584	22571.439
84000000	0.1091	2.5136	0.1908	7.9321E-2	3.0430	6.4183E-2	0.3823	0.3004	0.2039	0.2205	0.2752	7.3102E-4	7.4074E-5	7.3859E-4	0.1025	-3.089E-2	8.368	1143.142	23454.475
85000000	0.1106	2.5395	0.1935	7.3125E-2	3.0179	6.5363E-2	0.3816	0.2965	0.2066	0.2208	0.2761	7.5417E-4	8.5565E-5	7.6203E-4	0.1118	-3.6977E-2	20.858	1102.825	22665.351
86000000	0.1079	2.5172	0.1860	7.7486E-2	3.0450	6.6364E-2	0.3777	0.2994	0.2046	0.2205	0.2755	7.9837E-4	8.7356E-5	7.9413E-4	0.1083	-5.8368E-2	15.330	1086.080	21747.256
87000000	0.1072	2.4730	0.1914	7.2909E-2	3.0828	7.2687E-2	0.3884	0.2995	0.2039	0.2243	0.2723	7.9253E-4	8.1384E-5	7.9382E-4	0.0999	-3.6055E-2	16.338	1057.819	21677.181
88000000	0.1124	2.4742	0.1908	7.3394E-2	3.0825	6.6624E-2	0.3776	0.3010	0.2001	0.2234	0.2755	8.0135E-4	8.6558E-5	7.9123E-4	0.1050	-1.9285E-2	8.524	1117.407	21667.223
89000000	0.1142	2.4577	0.1873	7.4931E-2	3.0984	6.7409E-2	0.3762	0.3027	0.2015	0.2221	0.2737	7.5744E-4	8.695E-5	7.5564E-4	0.1093	1.6289E-2	9.154	1113.651	22561.483
90000000	0.1105	2.5537	0.1876	7.0919E-2	3.0139	6.3315E-2	0.3898	0.2966	0.2040	0.2193	0.2801	7.9418E-4	9.2788E-5	7.9321E-4	0.1196	-2.6857E-2	16.086	1204.940	22165.334
91000000	0.1135	2.5104	0.1877	7.1895E-2	3.0487	6.777E-2	0.3778	0.2999	0.2025	0.2206	0.2771	7.5364E-4	8.8548E-5	7.5662E-4	0.1141	-5.0761E-3	10.705	1164.224	23099.282
92000000	0.1061	2.5031	0.1888	7.3958E-2	3.0583	6.9797E-2	0.3757	0.2982	0.2029	0.2236	0.2752	7.9636E-4	8.2607E-5	7.9197E-4	0.1040	2.5273E-2	13.202	1150.881	22026.381
93000000	0.1107	2.5190	0.1879	6.9289E-2	3.0436	6.9554E-2	0.3865	0.2976	0.2055	0.2209	0.2760	7.9319E-4	9.1119E-5	7.9834E-4	0.1138	1.8627E-2	14.433	1141.116	21955.865
94000000	0.1091	2.5331	0.1902	7.6825E-2	3.0233	6.7525E-2	0.3829	0.2958	0.2060	0.2186	0.2795	7.8774E-4	8.9592E-5	7.9692E-4	0.1158	2.2828E-2	6.434	1038.921	21927.741
95000000	0.1080	2.4896	0.1901	7.4411E-2	3.0665	7.1468E-2	0.3872	0.3015	0.2021	0.2212	0.2752	7.5468E-4	8.0116E-5	7.3817E-4	0.1078	1.8286E-2	10.810	1263.930	23369.913
96000000	0.1089	2.5319	0.1857	7.2697E-2	3.0330	6.778E-2	0.3806	0.2963	0.2062	0.2193	0.2782	7.8997E-4	8.2306E-5	7.9688E-4	0.1055	-2.9595E-2	12.401	1030.604	21942.739
97000000	0.1114	2.5288	0.1895	7.4786E-2	3.0309	6.4565E-2	0.3794	0.2985	0.2055	0.2192	0.2767	8.7746E-4	9.5093E-5	8.6997E-4	0.1088	1.5081E-2	19.092	1039.205	19822.612
98000000	0.1053	2.4798	0.1964	7.3771E-2	3.0784	6.641E-2	0.3695	0.3025	0.2009	0.2228	0.2738	7.9397E-4	9.3085E-5	8.0414E-4	0.1152	-3.9979E-3	11.982	1146.145	21639.114
99000000	0.1115	2.5171	0.1848	7.6691E-2	3.0413	6.8586E-2	0.3805	0.2981	0.2032	0.2223	0.2764	7.7566E-4	9.3242E-5	7.8008E-4	0.1167	4.9051E-3	35.532	1167.690	22315.271
100000000	0.1107	2.4912	0.1944	7.5271E-2	3.0617	6.6767E-2	0.3816	0.2979	0.2048	0.2248	0.2725	7.8937E-4	9.6238E-5	7.8458E-4	0.1172	-1.9832E-2	5.176	1106.015	21913.679
101000000	0.1047	2.4818	0.1865	7.5023E-2	3.0885	6.362E-2	0.3794	0.3022	0.2032	0.2220	0.2727	7.4321E-4	8.7247E-5	7.4518E-4	0.1139	1.6401E-3	20.788	1146.561	23238.302
