state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
219000000	6.268	8.931	0.4030	0.1612	0.2092	0.2266	0.3654	0.1825	0.1681	0.2840	0.6283	1.7434	4.1789E-3	17.671	12.837	750.576
220000000	6.292	8.793	0.4080	0.1753	0.2021	0.2146	0.3567	0.1925	0.1857	0.2651	0.6206	1.7587	4.4097E-3	15.717	12.076	718.162
221000000	6.030	9.154	0.3965	0.1663	0.2130	0.2242	0.3671	0.1804	0.1718	0.2808	0.6170	1.7661	4.3563E-3	16.089	12.330	718.807
222000000	6.090	8.876	0.3812	0.1684	0.2163	0.2341	0.3482	0.2022	0.1825	0.2671	0.6216	1.7567	4.4263E-3	17.504	12.465	731.861
223000000	6.730	8.442	0.3866	0.1686	0.2142	0.2306	0.3460	0.1913	0.1859	0.2769	0.6183	1.7633	4.4193E-3	15.697	13.137	723.407
224000000	6.145	9.550	0.3776	0.1814	0.2085	0.2325	0.3661	0.1928	0.1743	0.2668	0.6061	1.7878	4.2834E-3	16.545	12.912	728.153
225000000	6.379	9.231	0.4114	0.1694	0.1986	0.2206	0.3565	0.1795	0.1835	0.2806	0.6326	1.7349	4.2566E-3	17.990	12.689	736.460
226000000	7.251	9.289	0.3792	0.1756	0.2141	0.2311	0.3390	0.1900	0.1804	0.2906	0.6175	1.7650	4.2309E-3	16.330	13.259	726.817
227000000	6.411	9.174	0.3803	0.1718	0.2245	0.2234	0.3612	0.1949	0.1695	0.2745	0.6360	1.7280	4.293E-3	17.625	12.663	740.819
228000000	6.407	8.570	0.4010	0.1659	0.2104	0.2228	0.3528	0.1888	0.1886	0.2699	0.6247	1.7506	4.5078E-3	16.467	12.407	714.366
229000000	6.190	8.068	0.3842	0.1716	0.2157	0.2285	0.3500	0.1865	0.1894	0.2741	0.6356	1.7289	4.4184E-3	16.813	12.397	733.178
230000000	6.191	8.856	0.3826	0.1655	0.2255	0.2264	0.3746	0.1747	0.1768	0.2739	0.6282	1.7435	4.3693E-3	17.015	12.272	729.820
231000000	5.951	8.773	0.3824	0.1706	0.2063	0.2407	0.3594	0.1766	0.1818	0.2822	0.6163	1.7673	4.2413E-3	17.591	12.024	728.093
232000000	6.830	9.113	0.4039	0.1640	0.2019	0.2302	0.3665	0.1747	0.1808	0.2780	0.6181	1.7638	4.419E-3	16.042	12.518	715.526
233000000	6.353	8.527	0.3843	0.1674	0.2128	0.2356	0.3463	0.1942	0.1805	0.2790	0.6249	1.7503	4.2036E-3	17.089	12.632	735.373
234000000	6.295	8.357	0.3815	0.1768	0.2147	0.2269	0.3489	0.1922	0.1855	0.2733	0.6189	1.7621	4.299E-3	17.187	12.271	727.781
235000000	6.081	8.438	0.4105	0.1617	0.2054	0.2224	0.3574	0.1898	0.1704	0.2823	0.6355	1.7290	4.1509E-3	17.519	12.667	753.704
236000000	5.947	9.127	0.4088	0.1570	0.2095	0.2248	0.3437	0.1943	0.1846	0.2774	0.6322	1.7356	4.6145E-3	15.819	13.033	708.774
237000000	6.048	8.719	0.4037	0.1653	0.2201	0.2109	0.3536	0.1843	0.1807	0.2814	0.6360	1.7280	4.2747E-3	17.547	12.700	740.606
238000000	5.773	9.460	0.3913	0.1696	0.2141	0.2250	0.3514	0.1796	0.1817	0.2872	0.6346	1.7308	4.3963E-3	16.800	12.181	720.937
