taxon	date
HM756659_2003.7671_USA_CT_Middlesex_-72.4667_41.3	2003-10-08
JF415914_2005_USA_TX_Harris_-95.3983_29.8591	2005-01-01
JF415916_2006_USA_TX_Harris_-95.3983_29.8591	2006-01-01
JF415917_2007_USA_TX_Harris_-95.3983_29.8591	2007-01-01
JF415918_2007_USA_TX_Harris_-95.3983_29.8591	2007-01-01
JF415919_2007_USA_TX_Harris_-95.3983_29.8591	2007-01-01
JF415920_2007_USA_TX_Harris_-95.3983_29.8591	2007-01-01
JF415921_2008_USA_TX_Harris_-95.3983_29.8591	2008-01-01
JF415922_2009_USA_TX_Harris_-95.3983_29.8591	2009-01-01
JF415924_2009_USA_TX_Harris_-95.3983_29.8591	2009-01-01
JF415929_2005_USA_TX_Harris_-95.3983_29.8591	2005-01-01
JF415930_2006_USA_TX_Harris_-95.3983_29.8591	2006-01-01
JF703161_2004.5_USA_CA_Imperial_-114.9633_32.7475	2004-07-02
JF703162_2003.5342_USA_CA_Imperial_-114.9633_32.7475	2003-07-15
JF703163_2005.8521_USA_CA_Riverside_-115.9928_33.7455	2005-11-08
JF703164_2003_USA_CA_Imperial_-114.9633_32.7475	2003-01-01
JX015515_2005.4877_USA_TX_ElPaso_-106.2362_31.7688	2005-06-28
JX015516_2007.6164_USA_TX_ElPaso_-106.2362_31.7688	2007-08-14
JX015517_2008.6503_USA_TX_ElPaso_-106.2362_31.7688	2008-08-26
JX015518_2008.6885_Mexico_Chihuahua_CiudadJuarez_-106.4869_31.7394	2008-09-09
JX015520_2009.6082_Mexico_Chihuahua_CiudadJuarez_-106.4869_31.7394	2009-08-11
JX015522_2010.6247_USA_TX_ElPaso_-106.2362_31.7688	2010-08-17
JX015523_2010.663_USA_TX_ElPaso_-106.2362_31.7688	2010-08-31
KC333375_2012.5902_USA_TX_Harris_-95.3983_29.8591	2012-08-04
KC333376_2012.4508_USA_TX_Harris_-95.8825_29.7925	2012-06-14
KC333378_2012.4891_USA_TX_Harris_-95.1739_29.6761	2012-06-28
KC333379_2012.4891_USA_TX_Harris_-95.3831_29.7628	2012-06-28
KC333381_2012.5055_USA_TX_Harris_-95.3831_29.7628	2012-07-04
KC333383_2012.5109_USA_TX_Harris_-95.3831_29.7628	2012-07-06
