state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
413000000	0.1188	1.2223	0.1548	3.7007E-2	4.3278	0.1393	0.2901	0.2708	0.2028	0.2827	0.2437	4.5278E-4	1.6342E-4	4.4158E-4	0.3633	1.6878E-2	0.125	18.385	2207.582
414000000	0.1150	1.1858	0.1402	4.339E-2	4.3526	0.1630	0.3052	0.2751	0.2066	0.2885	0.2299	4.526E-4	1.6876E-4	4.3494E-4	0.3773	-1.0857E-2	0.133	18.317	2204.448
415000000	0.1168	1.2130	0.1420	3.8945E-2	4.3377	0.1516	0.2758	0.2781	0.2020	0.2888	0.2312	4.6543E-4	1.6518E-4	4.5448E-4	0.3475	2.2583E-3	0.557	18.310	2135.570
416000000	0.1143	1.2815	0.1571	4.7603E-2	4.2385	0.1611	0.2763	0.2682	0.2167	0.2825	0.2327	4.5389E-4	1.6037E-4	4.4432E-4	0.3641	2.9107E-2	0.172	18.414	2144.868
417000000	0.1412	1.2861	0.1503	3.9208E-2	4.2124	0.1708	0.2789	0.2656	0.2090	0.2865	0.2388	4.5984E-4	1.5848E-4	4.3431E-4	0.3484	-3.034E-2	0.191	18.288	2176.815
418000000	0.1266	1.2254	0.1357	3.2837E-2	4.3082	0.1712	0.2778	0.2667	0.2045	0.2920	0.2368	4.6611E-4	1.601E-4	4.4973E-4	0.3479	-1.7296E-2	0.363	18.444	2130.457
419000000	0.1172	1.2641	0.1590	3.8685E-2	4.2582	0.1628	0.2809	0.2736	0.2063	0.2810	0.2390	4.4388E-4	1.6793E-4	4.378E-4	0.3691	-3.8795E-2	0.208	18.263	2159.618
420000000	0.1234	1.2664	0.1435	3.603E-2	4.2518	0.1789	0.2875	0.2688	0.2088	0.2810	0.2414	4.7595E-4	1.51E-4	4.6208E-4	0.3171	-3.8853E-2	0.174	18.420	2166.572
421000000	0.1317	1.2328	0.1576	3.2795E-2	4.2891	0.1560	0.2752	0.2732	0.2067	0.2881	0.2320	4.4996E-4	1.6038E-4	4.3507E-4	0.3529	-2.4487E-2	0.209	19.083	2167.800
422000000	0.1223	1.2388	0.1512	3.3377E-2	4.2842	0.1701	0.2802	0.2730	0.2083	0.2853	0.2334	4.5121E-4	1.5794E-4	4.449E-4	0.3528	-3.4191E-3	0.393	18.730	2175.263
423000000	0.1120	1.2657	0.1459	3.686E-2	4.2896	0.1499	0.2920	0.2677	0.2047	0.2916	0.2360	4.561E-4	1.7135E-4	4.4485E-4	0.3770	1.41E-2	0.240	18.371	2168.421
424000000	0.1294	1.2396	0.1600	3.2247E-2	4.2909	0.1478	0.2853	0.2728	0.2042	0.2794	0.2436	4.5828E-4	1.5719E-4	4.4933E-4	0.3448	-8.8436E-3	0.279	20.662	2214.767
425000000	0.1082	1.2310	0.1610	3.8733E-2	4.3120	0.1490	0.2964	0.2694	0.2110	0.2842	0.2354	4.6659E-4	1.7289E-4	4.5195E-4	0.3828	-1.8059E-2	0.194	18.386	2178.178
426000000	0.1174	1.2310	0.1440	4.0046E-2	4.3045	0.1630	0.2941	0.2749	0.2066	0.2814	0.2372	4.5399E-4	1.6205E-4	4.3452E-4	0.3614	1.0978E-2	0.192	18.334	2191.376
427000000	0.1240	1.2588	0.1403	4.027E-2	4.2890	0.1477	0.2879	0.2649	0.2073	0.2888	0.2390	4.586E-4	1.4075E-4	4.4648E-4	0.3056	-1.6438E-2	0.181	18.352	2203.354
428000000	0.1148	1.2618	0.1427	4.1239E-2	4.2828	0.1566	0.2942	0.2680	0.2065	0.2899	0.2356	4.4487E-4	1.4712E-4	4.3258E-4	0.3296	5.1633E-3	0.198	18.360	2185.500
429000000	0.1238	1.2634	0.1508	3.1944E-2	4.2718	0.1583	0.3081	0.2660	0.2073	0.2893	0.2373	4.7823E-4	1.8863E-4	4.5904E-4	0.4032	-3.4598E-2	0.168	18.379	2143.932
430000000	0.1399	1.2630	0.1565	3.2371E-2	4.2293	0.1790	0.2825	0.2682	0.2077	0.2882	0.2359	4.5981E-4	1.7805E-4	4.421E-4	0.3659	-2.717E-2	0.221	18.544	2107.972
431000000	0.1223	1.1969	0.1613	2.8222E-2	4.3534	0.1379	0.2871	0.2680	0.2078	0.2865	0.2377	4.7267E-4	1.8362E-4	4.6077E-4	0.3845	-1.2709E-2	0.242	18.675	2104.001
432000000	0.1210	1.2068	0.1535	3.4529E-2	4.3358	0.1484	0.2932	0.2717	0.2091	0.2831	0.2361	4.705E-4	1.6468E-4	4.5939E-4	0.3368	7.2789E-3	0.263	18.319	2133.841
433000000	0.1238	1.2436	0.1591	4.5027E-2	4.2673	0.1612	0.2787	0.2766	0.2066	0.2846	0.2322	4.7492E-4	1.8768E-4	4.6171E-4	0.3847	3.3054E-2	0.171	18.358	2132.755
434000000	0.1246	1.2388	0.1512	2.7305E-2	4.2975	0.1606	0.2838	0.2762	0.2036	0.2862	0.2340	4.5393E-4	1.5264E-4	4.4201E-4	0.3348	1.4436E-2	0.120	18.947	2126.557
435000000	0.1139	1.2050	0.1552	3.9517E-2	4.3277	0.1587	0.3009	0.2678	0.2072	0.2896	0.2354	4.589E-4	1.3695E-4	4.5491E-4	0.3016	-4.3173E-2	0.156	18.617	2133.504
436000000	0.1380	1.2236	0.1470	3.0907E-2	4.2951	0.1654	0.2848	0.2733	0.2015	0.2883	0.2369	4.7079E-4	1.7632E-4	4.6363E-4	0.3765	-2.3773E-2	0.179	18.520	2108.367
