taxon	date
1977|Avian|A/mallard/Alberta/300/1977|Canada|H4N3	1977-01-01
1977|Equine|A/equine/Argentina/1/1977|Argentina|H7N7	1977-01-01
1977|Human|A/Texas/1/1977|USA|H3N2	1977-01-01
1978|Avian|A/blue-winged_teal/ALB/221/1978|Canada|H7N2	1978-01-01
1978|Avian|A/duck/Hong_Kong/278/1978|Hong_Kong|H2N9	1978-01-01
1978|Avian|A/duck/Hong_Kong/293/1978|Hong_Kong|H7N2	1978-01-01
1978|Avian|A/duck/Hong_Kong/342/78|Hong_Kong|H5N2	1978-01-01
1978|Equine|A/equine/Kascakew/1/1978|unknown|H3N8	1978-01-01
1978|Human|A/Memphis/18/1978|USA|H3N2	1978-01-01
1978|Human|A/Waikato/13/2005|New_Zealand|H1N1*	1978-01-01
1978|Swine|A/swine/Tennessee/4/1978|USA|H1N1	1978-01-01
1979|Avian|A/African_starling/England-Q/983/1979|United_Kingdom|H7N1	1979-01-01
1979|Avian|A/blue-winged_teal/New_York/370ac/1979|USA|H4N2	1979-01-01
1979|Avian|A/goose/Leipzig/187-7/1979|Germany|H7N7	1979-01-01
1979|Avian|A/mallard/Alberta/965/1979|Canada|H1N1	1979-01-01
1979|Avian|A/mallard_duck/Minnesota/19/1979|USA|H10N7	1979-01-01
1979|Human|A/Thailand/CU88/2006|Thailand|H1N1*	1979-01-01
1979|Human|A/USSR/46/1979|Russia|H1N1	1979-01-01
1979|Swine|A/swine/Minnesota/5892-7/1979|USA|H1N1	1979-01-01
1980|Avian|A/black_duck/AUS/4045/1980|Australia|H6N5	1980-01-01
1980|Avian|A/gull/Minnesota/945/1980|USA|H13N6	1980-01-01
1980|Avian|A/red-necked_stint/Australia/4500/1980|Australia|H3N8	1980-01-01
1980|Avian|A/turkey/Italy/1980|Italy|H5N2	1980-01-01
1980|Equine|A/equine/Kentucky/4/1980|USA|H3N8	1980-01-01
1980|Human|A/New_York/UR06-0326/2007|USA|H1N1*	1980-01-01
1980|Swine|A/swine/Wisconsin/11/1980|USA|H1N1	1980-01-01
1981|Avian|A/pintail_duck/ALB/631/1981|Canada|H1N5	1981-01-01
1981|Avian|A/red-necked_stint/Australia/5745/1981|Australia|H12N9	1981-01-01
1981|Equine|A/equine/Kentucky/2/1981|USA|H3N8	1981-01-01
1981|Human|A/Bilthoven/4791/1981|Netherlands|H3N2	1981-01-01
1981|Human|A/New_York/08-1253/2008|USA|H1N1*	1981-01-01
1981|Swine|A/swine/Germany/2/1981|Germany|H1N1	1981-01-01
1981|Swine|A/swine/Ontario/3/1981|Canada|H1N1	1981-01-01
1982|Avian|A/mallard_duck/New_York/90/1982|USA|H6N8	1982-01-01
1982|Avian|A/pintail/Alberta/189/82|Canada|H6N6	1982-01-01
1982|Equine|A/equine/California/83/1982|USA|H3N8	1982-01-01
1982|Human|A/Alaska/WRAIR1114P/2009|USA|H1N1*	1982-01-01
1983|Avian|A/mallard/Marquenterre/Z237/1983|France|H1N1	1983-01-01
1983|Avian|A/mallard_duck/ALB/797/1983|Canada|H11N3	1983-01-01
