taxon	date
Kak-428_NGA-Osun_COORDINATES_Hp_2012-03-15	2012-03-15
LASV_NGA_2011_IRR_001_NGA-Ondo_Ose_Hs_2011-08-02	2011-08-02
LASV_NGA_2012_IRR_001_NGA-Taraba_Jalingo_Hs_2012-02-08	2012-02-08
LASV_NGA_2012_IRR_003_NGA-Taraba_Jalingo_Hs_2012-02-10	2012-02-10
LASV_NGA_2012_IRR_010_NGA-Delta_Asaba_Hs_2012-05-28	2012-05-28
LASV_NGA_2013_IRR_001_NGA-Ondo_Imoru_Hs_2013-01-16	2013-01-16
LASV_NGA_2013_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2013-01-25	2013-01-25
LASV_NGA_2013_IRR_006_NGA-Ondo_Ifon_Hs_2013-01-30	2013-01-30
LASV_NGA_2013_IRR_007_NGA-Enugu_Enugu_Hs_2013-02-03	2013-02-03
LASV_NGA_2013_IRR_008_NGA-Taraba_Jalingo_Hs_2013-03-06	2013-03-06
LASV_NGA_2013_IRR_014_NGA-Bauchi_Bauchi_Hs_2013-11-23	2013-11-23
LASV_NGA_2013_IRR_016_NGA-Bauchi_Bauchi_Hs_2013-12-08	2013-12-08
LASV_NGA_2014_IRR_001_NGA-Edo_NA_Hs_2014-01-25	2014-01-25
LASV_NGA_2014_IRR_002_NGA-Nassarawa_Lafia_Hs_2014-01-20	2014-01-20
LASV_NGA_2014_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2014-05-14	2014-05-14
LASV_NGA_2014_IRR_010_NGA-Ondo_Okeluse_Hs_2014-05-17	2014-05-17
LASV_NGA_2014_IRR_011_NGA-Ondo_Okeluse_Hs_2014-08-01	2014-08-01
LASV_NGA_2014_IRR_012_NGA-Ondo_Ifon_Hs_2014-08-10	2014-08-10
LASV_NGA_2015_IRR_008_NGA-Bauchi_Alkaleri_Hs_2015-04-10	2015-04-10
LASV_NGA_2015_IRR_009_NGA-Bauchi_Mbal_Hs_2015-04-25	2015-04-25
LASV_NGA_2015_IRR_010_NGA-Kogi_Ibaji_Hs_2015-07-02	2015-07-02
LASV_NGA_2015_IRR_011_NGA-Ondo_Owo_Hs_2015-09-16	2015-09-16
LASV_NGA_2015_IRR_012_NGA-Ondo_Ifon_Hs_2015-11-06	2015-11-06
LASV_NGA_2015_IRR_014_NGA-Nassarawa_Agyaragu_Hs_2015-12-30	2015-12-30
LASV_NGA_2016_IRR_001_NGA-Edo_NA_Hs_2016-01-04	2016-01-04
LASV_NGA_2016_IRR_002_NGA-Edo_NA_Hs_2016-02-15	2016-02-15
LASV_NGA_2016_IRR_003_NGA-Plateau_Kumbul_Hs_2016-01-04	2016-01-04
LASV_NGA_2016_IRR_004_NGA-Taraba_Takun_Hs_2016-01-05	2016-01-05
LASV_NGA_2016_IRR_006_NGA-Ekiti_IdoEkiti_Hs_2016-01-14	2016-01-14
LASV_NGA_2016_IRR_008_NGA-Nassarawa_Lafia_Hs_2016-01-20	2016-01-20
LASV_NGA_2016_IRR_009_NGA-Plateau_Shendam_Hs_2016-01-20	2016-01-20
LASV_NGA_2016_IRR_010_NGA-Taraba_Kwesati_Hs_2016-01-22	2016-01-22
LASV_NGA_2016_IRR_012_NGA-Bauchi_TafawaBalewa_Hs_2016-01-25	2016-01-25
LASV_NGA_2016_IRR_013_NGA-Imo_Owerri_Hs_2016-01-27	2016-01-27
LASV_NGA_2016_IRR_014_NGA-Bauchi_Alkaleri_Hs_2016-01-28	2016-01-28
LASV_NGA_2016_IRR_015_NGA-Nassarawa_Lafia_Hs_2016-02-03	2016-02-03
LASV_NGA_2016_IRR_016_NGA-Nassarawa_Kwarra_Hs_2016-02-06	2016-02-06
LASV_NGA_2016_IRR_017_NGA-Ondo_Ifon_Hs_2016-02-06	2016-02-06
LASV_NGA_2016_IRR_018_NGA-Ebonyi_Ikwo_Hs_2016-02-09	2016-02-09
LASV_NGA_2016_IRR_019_NGA-Bauchi_LimanKatagum_Hs_2016-01-12	2016-01-12
LASV_NGA_2016_IRR_020_NGA-Nassarawa_Lafia_Hs_2016-02-15	2016-02-15
LASV_NGA_2016_IRR_021_NGA-Ebonyi_NA_Hs_2016-02-18	2016-02-18
LASV_NGA_2016_IRR_023_NGA-Kaduna_Kaduna_Hs_2016-02-23	2016-02-23
LASV_NGA_2016_IRR_025_NGA-Benue_Oiji_Hs_2016-02-26	2016-02-26
LASV_NGA_2016_IRR_026_NGA-Ebonyi_Ohaukwu_Hs_2016-02-26	2016-02-26
LASV_NGA_2016_IRR_027_NGA-Ebonyi_Izzi_Hs_2016-02-28	2016-02-28
LASV_NGA_2016_IRR_028_NGA-Bauchi_SabonGari_Hs_2016-02-29	2016-02-29
LASV_NGA_2016_IRR_029_NGA-Ondo_Owo_Hs_2016-03-01	2016-03-01
LASV_NGA_2016_IRR_032_NGA-Nassarawa_Lafia_Hs_2016-03-13	2016-03-13
LASV_NGA_2016_IRR_033_NGA-Ondo_Ondo_Hs_2016-03-14	2016-03-14
LASV_NGA_2017_IRR_001_NGA-Nassarawa_NA_Hs_2017-01-24	2017-01-24
LASV_NGA_2017_IRR_003_NGA-Edo_NA_Hs_2017-04-03	2017-04-03
LASV_NGA_2017_IRR_004_NGA-Edo_Uzairue_Hs_2017	2017
LASV_NGA_2017_IRR_006_NGA-Ondo_Owo_Hs_2017-01-19	2017-01-19
LASV_NGA_2017_IRR_008_NGA-Ebonyi_EzzaNorth_Hs_2017-02-02	2017-02-02
