state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
72000000	0.5356	2.2755	0.2806	6.6094E-2	2.5502	0.2920	0.3562	2.7331	0.1830	1.7215E-2	2.4043	0.3061	0.1977	2.3517	0.1724	4.8617E-2	2.7321	0.4974	4.9528E-3	0.1563	0.2625	0.3078	0.2073	0.2292	0.2557	0.2350	0.2506	0.2538	0.2606	0.3696	0.2366	0.1753	0.2185	0.3772	2.1818	1.2152	5.1611E-4	7.376E-4	4.3534E-4	1.3553	4.4688E-2	2.644	22.769	467.546
73000000	0.5050	2.1122	0.2734	0.2222	2.5457	0.3414	0.3424	2.5261	0.2128	3.1142E-2	2.4997	0.3878	0.2978	2.2353	0.1702	6.3469E-2	2.7802	0.4531	5.8444E-2	0.1770	0.1837	0.2998	0.2039	0.2290	0.2672	0.2461	0.2481	0.2496	0.2561	0.3301	0.2393	0.1792	0.2514	0.3662	2.2071	1.2039	5.8386E-4	7.4722E-4	5.0407E-4	1.2505	2.0975E-2	4.509	19.357	424.915
74000000	0.4822	2.2648	0.2911	0.1391	2.6112	0.2115	0.3864	2.7368	0.1798	6.1415E-2	2.1714	0.4642	0.3972	2.5307	0.1330	4.2142E-2	2.4905	0.4064	6.7127E-2	0.1690	0.2087	0.2996	0.2014	0.2224	0.2767	0.2399	0.2428	0.2466	0.2707	0.3554	0.2453	0.1900	0.2093	0.3594	2.2196	1.2079	5.3941E-4	6.4468E-4	4.8172E-4	1.2108	8.2535E-2	2.941	21.100	439.979
75000000	0.4461	1.9823	0.2294	0.1789	2.9215	0.2419	0.3610	2.6386	0.1408	2.6263E-2	2.4520	0.3813	0.2627	2.5301	0.1871	4.8517E-2	2.3828	0.5888	6.543E-3	0.1597	0.2302	0.2961	0.2041	0.2401	0.2598	0.2387	0.2515	0.2477	0.2621	0.3429	0.2331	0.1841	0.2399	0.3670	2.2206	1.1535	5.8185E-4	7.9815E-4	5.0413E-4	1.2945	9.6074E-2	2.780	19.438	418.693
76000000	0.4836	2.3638	0.3133	0.1713	2.4382	0.2298	0.3880	2.9262	0.1399	5.3212E-2	2.1114	0.3812	0.1910	2.1827	0.1848	0.1084	2.6873	0.6459	9.789E-3	0.1579	0.2645	0.2970	0.2129	0.2225	0.2676	0.2356	0.2534	0.2380	0.2730	0.3546	0.2314	0.1701	0.2439	0.3328	2.2714	1.2128	4.753E-4	5.79E-4	4.4804E-4	1.2719	1.6259E-2	3.270	20.081	471.362
77000000	0.4329	2.3352	0.2059	0.1051	2.6518	0.2691	0.3909	2.9618	0.1547	6.182E-3	2.0645	0.4220	0.4099	2.1664	0.2122	6.9546E-2	2.5738	0.5682	1.4511E-2	0.1745	0.2305	0.3009	0.2055	0.2247	0.2690	0.2468	0.2387	0.2378	0.2767	0.3511	0.2389	0.1868	0.2231	0.3502	2.2462	1.1800	5.7335E-4	8.3135E-4	5.0205E-4	1.5824	8.9433E-2	16.110	22.370	441.397
78000000	0.5276	2.1541	0.3247	0.1591	2.4927	0.3417	0.3426	2.6345	0.2086	2.8972E-2	2.3785	0.4069	0.3613	2.3565	0.2261	5.2764E-2	2.6539	0.3494	2.5751E-2	0.1725	0.1943	0.2948	0.2118	0.2278	0.2656	0.2380	0.2584	0.2391	0.2645	0.3608	0.2541	0.1588	0.2263	0.3827	2.1850	1.1678	4.7105E-4	4.9857E-4	4.4169E-4	1.1512	7.7938E-2	18.383	21.294	469.469
79000000	0.7007	2.2209	0.2531	0.1073	2.4517	0.2665	0.3895	2.6953	0.2030	3.1505E-2	2.3193	0.3615	0.5221	2.3003	0.1646	3.4304E-2	2.5432	0.4355	7.6151E-2	0.1608	0.2556	0.3022	0.2122	0.2265	0.2591	0.2375	0.2462	0.2544	0.2619	0.3288	0.2611	0.1741	0.2360	0.3708	2.2036	1.1848	4.8169E-4	6.4523E-4	4.4551E-4	1.3864	4.2197E-2	1.717	21.431	462.176
80000000	0.4691	2.0415	0.2671	0.1367	2.8166	0.2690	0.3762	2.7856	0.1882	2.4924E-2	2.1799	0.4452	0.3536	2.2823	0.1903	3.324E-2	2.4832	0.6574	4.3994E-3	0.1812	0.2120	0.2965	0.2105	0.2307	0.2622	0.2459	0.2487	0.2345	0.2710	0.3228	0.2399	0.1969	0.2404	0.3767	2.2144	1.1087	4.8E-4	5.4604E-4	4.7449E-4	1.2334	6.867E-2	4.497	19.908	459.537
81000000	0.6144	2.4414	0.3185	0.1087	2.3434	0.1735	0.4292	2.6707	0.1850	4.2001E-2	2.3080	0.3651	0.3397	2.3009	0.1920	6.3034E-2	2.7518	0.3526	5.5381E-2	0.1559	0.2895	0.2979	0.2151	0.2215	0.2655	0.2502	0.2479	0.2478	0.2541	0.3179	0.2634	0.1945	0.2242	0.3748	2.2141	1.1225	4.9322E-4	5.4889E-4	4.8301E-4	1.0992	9.3229E-2	7.164	20.153	432.396
