state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
50000000	0.3072	1.0543	0.1875	0.1647	3.3722	0.9141	0.8593	0.2992	0.1793	0.1912	0.3303	1.4214E-3	0.822	0.179	16.155
51000000	0.2853	1.2580	0.2619	0.3394	3.2069	0.6484	0.8370	0.3045	0.1804	0.1946	0.3206	1.4236E-3	0.456	0.216	16.224
52000000	0.3316	1.2022	0.1802	0.2644	3.1710	0.8507	0.8728	0.2997	0.1820	0.1974	0.3209	1.3848E-3	0.041	0.161	15.701
53000000	0.3135	1.2455	0.2180	0.1702	3.0669	0.9859	0.8611	0.2979	0.1762	0.1968	0.3291	1.507E-3	0.146	0.162	15.290
54000000	0.2665	1.3700	0.1876	0.3238	2.9429	0.9091	0.8863	0.2970	0.1819	0.1977	0.3233	1.3055E-3	0.299	0.176	16.540
55000000	0.3130	1.1497	0.1880	0.2394	3.1169	0.9930	0.7991	0.2973	0.1817	0.1953	0.3258	1.333E-3	0.274	0.166	17.452
56000000	0.2686	1.2384	0.2592	0.3448	3.0075	0.8815	0.8583	0.2992	0.1829	0.1961	0.3217	1.3056E-3	0.064	0.163	18.433
57000000	0.3597	1.3835	0.1423	0.2598	2.8611	0.9936	0.8451	0.2929	0.1850	0.1954	0.3267	1.6177E-3	0.816	0.174	14.069
58000000	0.2925	1.1702	0.2729	0.2752	3.0915	0.8977	0.8281	0.2929	0.1841	0.1964	0.3266	1.4139E-3	0.321	0.161	15.476
59000000	0.3919	1.1173	0.1998	0.2713	3.1107	0.9090	0.8002	0.2966	0.1804	0.1968	0.3262	1.476E-3	0.433	0.182	15.697
60000000	0.3589	1.0794	0.2314	0.2840	2.9996	1.0466	0.8692	0.3008	0.1772	0.1904	0.3317	1.4616E-3	0.667	0.195	15.008
61000000	0.4380	1.1349	0.2126	0.2281	3.0997	0.8866	0.8431	0.2967	0.1789	0.1973	0.3270	1.4999E-3	0.064	0.165	15.768
62000000	0.2907	1.4707	0.2537	0.1760	2.9710	0.8379	0.8324	0.2980	0.1773	0.1979	0.3268	1.3834E-3	0.686	0.158	16.479
63000000	0.2679	1.1883	0.2320	0.2387	3.1749	0.8982	0.8381	0.2993	0.1792	0.1974	0.3241	1.3003E-3	1.240	0.210	15.656
64000000	0.2577	1.2949	0.2243	0.2895	2.9765	0.9570	0.8858	0.2990	0.1818	0.1928	0.3264	1.5511E-3	0.256	0.164	14.733
65000000	0.3051	1.2746	0.2011	0.2409	3.0408	0.9375	0.8617	0.3026	0.1830	0.1895	0.3249	1.5434E-3	0.448	0.224	15.975
66000000	0.2187	1.2828	0.2180	0.2638	3.2051	0.8116	0.8238	0.2995	0.1804	0.1959	0.3242	1.3159E-3	0.146	0.160	17.438
67000000	0.2860	1.0807	0.2203	0.2981	3.1490	0.9660	0.8596	0.2973	0.1829	0.1990	0.3208	1.407E-3	0.185	0.157	16.715
68000000	0.2429	1.2837	0.1687	0.3604	2.9279	1.0164	0.8652	0.3004	0.1826	0.1922	0.3248	1.4071E-3	0.296	0.161	15.711
69000000	0.2559	1.3046	0.1875	0.2663	3.2144	0.7713	0.8274	0.2989	0.1813	0.1948	0.3251	1.4244E-3	0.226	0.173	15.589
70000000	0.3099	1.1928	0.2476	0.2293	3.0331	0.9873	0.8560	0.3023	0.1761	0.1967	0.3249	1.4637E-3	0.237	0.202	15.935
71000000	0.3109	1.2335	0.2285	0.2623	2.9983	0.9665	0.8163	0.2978	0.1819	0.1950	0.3253	1.3656E-3	0.198	0.183	17.111
72000000	0.3542	1.2565	0.3022	0.1816	2.9952	0.9103	0.8526	0.2974	0.1782	0.1946	0.3297	1.5392E-3	0.145	0.160	15.960
73000000	0.2619	1.2136	0.2564	0.2635	2.9749	1.0297	0.8364	0.2990	0.1816	0.1946	0.3248	1.5101E-3	0.249	0.158	15.087
74000000	0.1975	1.1249	0.1783	0.3651	3.1396	0.9946	0.8295	0.3003	0.1821	0.1900	0.3275	1.281E-3	0.094	0.178	17.114
75000000	0.2946	1.4020	0.2129	0.1699	3.0957	0.8248	0.8338	0.3022	0.1789	0.1925	0.3264	1.4198E-3	0.267	0.184	16.102
76000000	0.2430	1.1784	0.2090	0.4615	3.0147	0.8934	0.8022	0.2994	0.1793	0.1964	0.3250	1.7279E-3	0.269	0.193	13.751
77000000	0.3592	1.1589	0.2630	0.3272	3.0222	0.8694	0.8139	0.3008	0.1837	0.1965	0.3190	1.2407E-3	0.165	0.188	17.093
78000000	0.2690	1.2426	0.2761	0.3291	3.0269	0.8563	0.8386	0.2986	0.1811	0.1934	0.3269	1.2677E-3	0.295	0.164	17.359
79000000	0.2234	1.2028	0.2924	0.2921	2.9871	1.0023	0.8374	0.3014	0.1810	0.1933	0.3243	1.2411E-3	0.567	0.190	18.847
80000000	0.2142	1.2651	0.1903	0.2959	3.0725	0.9622	0.8438	0.2978	0.1790	0.1973	0.3259	1.3251E-3	1.275	0.222	16.988
81000000	0.2112	1.2336	0.1950	0.2682	3.1783	0.9136	0.8648	0.3056	0.1809	0.1937	0.3198	1.3648E-3	0.432	0.214	16.889
82000000	0.3396	1.2904	0.2183	0.4211	2.8523	0.8783	0.8804	0.3003	0.1796	0.1905	0.3295	1.3045E-3	0.136	0.156	17.148
83000000	0.3132	1.0809	0.2758	0.2760	3.1929	0.8612	0.8684	0.2972	0.1790	0.1969	0.3270	1.2972E-3	0.136	0.156	16.152
84000000	0.2136	1.3600	0.2385	0.2878	2.9848	0.9152	0.8662	0.2988	0.1840	0.1920	0.3251	1.3927E-3	0.023	0.156	15.389
85000000	0.2273	1.2728	0.2670	0.2303	2.9967	1.0059	0.8392	0.2985	0.1819	0.1968	0.3227	1.4276E-3	0.119	0.160	15.659
86000000	0.3377	1.4498	0.2333	0.2564	2.8323	0.8904	0.8193	0.3005	0.1797	0.1947	0.3250	1.4137E-3	0.722	0.215	16.443
87000000	0.3827	1.2497	0.2114	0.2983	2.9373	0.9207	0.8649	0.3008	0.1782	0.1969	0.3240	1.5336E-3	0.157	0.158	15.871
88000000	0.3205	1.2595	0.2194	0.2829	3.0460	0.8717	0.8306	0.2933	0.1810	0.1957	0.3300	1.2416E-3	0.022	0.156	17.566
89000000	0.3513	1.1758	0.2338	0.3145	3.0264	0.8981	0.8556	0.3007	0.1799	0.1973	0.3222	1.293E-3	0.045	0.156	17.206
90000000	0.2727	1.3250	0.2415	0.3911	3.0603	0.7094	0.8593	0.2979	0.1854	0.1928	0.3240	1.3218E-3	0.267	0.165	16.847
91000000	0.2679	1.2232	0.1575	0.2350	3.0841	1.0324	0.8784	0.2980	0.1809	0.1948	0.3263	1.2284E-3	0.208	0.201	17.381
92000000	0.2564	1.4716	0.2503	0.2657	2.6904	1.0656	0.8686	0.3017	0.1788	0.1961	0.3233	1.3204E-3	0.544	0.213	17.407
93000000	0.3260	1.1993	0.2374	0.3105	3.0452	0.8817	0.8828	0.3007	0.1811	0.1950	0.3231	1.329E-3	0.283	0.167	18.781
94000000	0.3004	1.1590	0.2845	0.3485	3.0757	0.8318	0.8575	0.2942	0.1838	0.1951	0.3270	1.4527E-3	0.277	0.162	16.036
95000000	0.2478	1.2546	0.2320	0.2452	3.0264	0.9941	0.8519	0.3015	0.1800	0.1923	0.3262	1.3026E-3	0.074	0.158	17.124
96000000	0.3232	1.4293	0.3243	0.2229	2.7819	0.9184	0.8305	0.2996	0.1840	0.1951	0.3213	1.3336E-3	1.437	0.202	17.716
97000000	0.2555	1.1781	0.2383	0.2303	3.2037	0.8941	0.8645	0.2985	0.1823	0.1945	0.3248	1.358E-3	0.518	0.179	16.155
98000000	0.3823	1.0575	0.2288	0.2557	3.1955	0.8802	0.8310	0.2996	0.1821	0.1917	0.3267	1.3208E-3	0.759	0.172	16.223
