state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
369000000	1.854	0.690	1.374	1.447	-0.754	-2.581	-1.492	-1.225	-4.272	-5.311	-9.905	-13.241	-13.667	-14.259	-16.026	-18.168	-16.103	-15.916	-13.342	-12.929
370000000	0.524	1.110	1.542	1.647	-0.648	-2.692	-0.643	0.082	-6.437	-12.118	-14.803	-16.684	-14.784	-15.623	-17.040	-18.832	-19.076	-17.050	-16.167	-16.816
371000000	2.237	1.027	1.874	1.663	-1.118	-0.793	-2.511	-3.160	-2.332	-5.234	-5.920	-6.105	-5.097	-5.392	-6.196	-5.779	-6.806	-7.099	-5.740	-2.316
372000000	0.316	0.781	1.751	1.864	0.006	-2.334	-1.796	-0.834	-3.401	-6.533	-9.159	-10.765	-9.020	-7.225	-10.998	-14.170	-14.333	-13.920	-13.914	-12.269
373000000	-0.366	0.965	1.550	1.539	-0.942	-2.614	-1.160	-1.583	-2.218	-6.215	-10.254	-10.310	-8.774	-10.981	-10.168	-10.901	-9.806	-9.860	-11.977	-9.876
374000000	-0.053	1.215	1.966	2.103	-0.245	-1.056	-1.564	-1.716	-4.369	-2.973	-3.254	-0.985	-2.737	-3.398	-3.232	-3.881	0.392	2.765	2.878	3.868
375000000	0.194	0.930	2.161	1.886	0.031	-1.088	-1.578	-1.860	-4.272	-1.884	3.908	1.930	1.338	5.087	0.961	2.098	0.541	4.560	6.242	5.500
376000000	-0.197	1.172	1.700	1.933	0.287	-1.625	0.111	-1.588	-3.935	-2.645	-2.841	-6.102	-4.633	-3.542	-2.509	-3.380	-2.168	-1.166	-5.582	-8.393
377000000	-0.602	0.916	1.816	1.070	0.455	-2.138	-0.766	-1.333	-3.193	-6.132	-7.798	-7.213	-11.349	-9.375	-10.961	-8.198	-8.958	-9.503	-7.307	-7.843
378000000	-0.442	0.687	1.834	1.797	-0.808	-2.546	-2.350	-4.188	-5.230	-7.576	-9.155	-9.839	-8.163	-7.587	-6.618	-4.675	-5.892	-7.174	-7.736	-8.217
379000000	-0.391	1.039	1.160	1.255	-0.891	-3.567	-0.979	-0.996	-8.219	-9.577	-12.273	-5.269	-10.981	-9.973	-9.873	-9.152	-11.664	-14.683	-16.392	-14.940
380000000	0.264	0.790	1.312	1.781	-0.559	-2.013	-1.665	0.135	-6.708	-3.177	-9.046	-5.828	-7.862	-10.785	-15.040	-17.328	-20.089	-23.161	-26.584	-32.594
381000000	0.214	0.729	1.973	1.751	-0.219	-2.128	-1.829	0.850	0.864	-5.991	-5.037	-5.371	-2.593	-1.460	-0.866	-2.077	-4.750	-6.906	-6.672	-5.274
382000000	0.851	0.918	1.872	2.417	-0.694	-2.726	-1.682	-2.570	-3.541	-3.839	-4.156	-5.409	-7.671	-7.964	-6.250	-5.397	-5.806	-5.004	-5.296	-5.180
383000000	0.922	0.665	1.927	1.898	-0.622	-1.216	-1.538	-2.577	-3.972	-5.730	-7.769	-7.501	-8.432	-9.512	-8.783	-8.921	-8.943	-8.428	-7.824	-8.454
384000000	0.039	1.156	1.716	1.473	0.585	-0.345	-2.198	-2.246	-4.496	-3.318	-5.556	-4.429	-4.989	-3.901	-4.304	-4.389	-4.110	-3.562	-4.377	-3.952
385000000	0.586	1.278	1.739	1.814	0.286	-0.247	-1.758	-2.626	-4.645	-4.340	-4.337	-4.222	-6.690	-8.188	-6.433	-7.933	-8.021	-9.131	-8.486	-10.044
386000000	1.521	1.519	1.743	1.759	0.166	-1.328	-2.488	-2.317	-3.450	-2.716	-3.732	-3.164	-4.072	-4.174	-3.068	-3.686	-4.597	-3.703	-3.393	-4.516
387000000	0.451	0.958	1.369	1.626	-0.308	-0.959	-2.049	-3.911	-3.643	-3.172	-3.126	-2.465	-2.878	-2.797	-3.515	-4.268	-2.872	-3.837	-2.836	-3.375
388000000	1.274	1.230	1.879	1.811	-0.973	-1.160	-1.854	-2.744	-0.224	-2.694	-5.239	-6.315	-7.371	-5.475	-4.474	-4.622	-5.984	-4.154	-6.570	-5.878
389000000	-0.528	0.968	1.583	1.252	-0.536	-3.207	-1.439	-0.304	-1.496	-4.905	-5.268	-2.257	-1.152	-0.598	-0.593	-0.184	-2.893	-3.109	-8.452	-11.122
390000000	-0.548	0.593	1.699	1.780	-1.035	-2.598	-2.443	-1.632	-4.149	-4.147	-3.367	-2.980	-1.657	-3.288	-2.375	-1.547	-0.778	-0.498	-0.411	0.516
391000000	-0.385	0.803	1.091	1.300	-1.520	-2.284	-2.558	-2.586	-4.110	-6.021	-5.973	-4.504	-6.347	-5.668	-7.369	-9.138	-10.059	-8.843	-9.425	-11.100
392000000	0.414	0.503	1.202	0.789	-1.519	-2.851	-1.710	-3.325	-7.397	-6.262	-7.464	-5.211	-3.003	0.162	-3.216	1.035	1.454	2.969	5.424	2.510
393000000	-0.428	0.511	1.261	0.727	-1.841	-2.611	-2.131	-3.125	-5.088	-5.533	-4.304	-3.973	-2.282	-1.261	-1.767	-0.881	-0.733	1.123	2.188	3.914
394000000	-0.195	0.784	1.359	1.263	-1.704	-2.625	-1.128	-4.057	-2.626	-2.010	-0.754	-0.371	-2.544	-2.135	-0.071	0.906	0.498	1.396	0.389	-0.363
395000000	-0.428	0.696	1.600	1.206	-1.070	-1.997	-2.095	-3.294	-4.381	-3.647	-4.312	-4.078	-3.795	-6.121	-4.883	-4.635	-4.566	-7.829	-6.235	-7.340
396000000	-0.117	1.160	1.406	1.322	-1.073	-2.034	-1.835	-1.249	-1.234	-4.594	-3.834	-3.291	-2.617	-2.444	-4.062	-2.996	-1.099	-0.903	-2.971	-4.236
397000000	-0.167	0.781	1.238	1.730	-1.278	-3.359	-2.242	-3.071	-3.329	-3.187	-3.402	-4.734	-6.593	-6.480	-6.633	-5.775	-7.378	-9.527	-11.363	-13.072
398000000	-0.223	1.162	1.661	1.291	-0.131	-1.810	-2.192	-3.761	-2.419	-4.130	-4.829	-4.081	-3.242	-3.210	-2.466	-1.081	-0.908	-1.541	-1.437	-2.776
399000000	-0.470	1.083	1.157	0.988	-1.354	-2.091	-2.570	-2.904	-6.197	-5.711	-4.654	-4.232	-2.460	-1.897	-1.666	-0.081	2.170	2.150	-0.312	-0.873
400000000	0.110	0.617	1.646	1.077	-0.619	-1.567	-1.952	-3.008	-2.751	-3.516	-3.214	-3.031	-2.300	-2.396	-1.470	-1.773	-1.878	-2.752	-1.666	-1.190
401000000	-0.143	1.302	1.367	1.239	-0.789	-2.106	-1.052	-0.667	-3.383	-4.757	-5.732	-4.208	-2.343	-1.144	-6.523	-7.904	-10.916	-8.206	-9.352	-11.698
402000000	2.462	0.583	1.843	1.832	-0.705	-2.332	-1.798	-1.426	-2.104	-4.154	-5.839	-4.582	-4.682	-8.249	-10.414	-9.013	-9.751	-10.559	-12.599	-11.838
403000000	0.117	0.647	1.643	1.785	-0.725	-2.005	-1.844	-1.558	-2.984	-5.514	-4.186	-3.361	-3.853	-5.083	-2.518	-0.466	0.547	-0.202	-0.893	-2.921
404000000	-0.146	0.770	1.925	1.258	-1.193	-1.679	-1.887	-3.711	-3.972	-4.477	-5.346	-6.165	-7.320	-6.846	-7.603	-6.705	-8.055	-7.653	-7.483	-7.359
405000000	-0.431	1.088	1.709	1.194	-1.413	-2.412	-3.115	-3.466	-4.289	-2.803	-1.886	-4.691	-3.758	-2.810	-3.692	-2.083	-2.768	-5.003	-7.417	-6.932
406000000	0.602	0.713	1.434	1.443	-0.359	-3.076	-1.913	-0.404	-0.145	-4.616	-4.215	-1.540	-2.736	-1.100	0.186	-0.837	0.788	0.476	-0.877	0.034
407000000	0.238	0.971	1.391	1.077	-0.344	-2.337	-2.196	-2.697	-4.297	-4.011	-4.477	-5.179	-6.110	-4.708	-5.412	-3.683	-5.604	-6.267	-7.426	-8.487
408000000	0.414	1.215	2.056	1.723	-0.968	-0.854	-0.923	-2.833	-2.558	-4.584	-5.776	-6.228	-5.739	-2.659	-1.892	-1.437	-0.421	-0.173	0.589	0.702
409000000	-0.237	0.644	1.458	1.545	-1.005	-2.094	-2.539	-2.645	-3.563	-5.842	-2.789	-3.335	-4.091	-1.912	1.302	1.180	2.259	2.578	0.493	0.482
410000000	0.469	1.066	1.213	1.187	-0.981	-1.799	-1.979	-3.267	-3.655	-0.622	-1.019	-2.312	-2.762	-2.561	-2.037	-3.537	-2.876	-1.984	-1.012	-0.559
411000000	-0.513	1.139	1.789	1.899	-0.521	-4.272	1.149	1.926	-6.650	-2.063	3.347	8.742	7.274	14.313	17.926	16.364	12.598	16.840	19.567	22.102
412000000	0.517	1.637	1.576	1.739	-0.246	-2.685	-1.239	-1.083	-4.500	-1.422	2.327	3.387	2.539	3.604	5.371	7.832	8.153	8.558	12.859	13.730
413000000	-0.177	0.956	2.004	1.676	-0.325	-1.010	-2.116	-0.681	-4.080	-7.085	-6.830	-8.729	-4.088	-5.267	-2.708	-5.753	-6.192	-10.450	-6.866	-10.362
414000000	-0.528	0.771	1.698	1.646	-0.622	-0.839	-3.357	-2.201	-3.737	-2.419	-4.395	-4.292	-5.596	-4.206	-3.836	-3.713	-2.644	-1.189	-0.103	1.835
415000000	0.217	0.998	1.759	1.979	-1.055	-2.058	-0.840	-3.558	-6.258	-4.739	-3.420	-4.712	-6.954	-7.541	-6.395	-0.913	-0.949	2.657	0.696	0.739
416000000	0.654	1.021	2.218	1.814	-0.390	-1.799	-2.646	-2.186	-6.805	-5.826	-6.654	-8.649	-6.579	-6.187	-6.312	-5.229	-3.883	-5.855	-3.332	-2.413
417000000	-0.192	0.556	1.623	1.473	-0.856	-3.351	-1.805	-1.555	-7.347	-10.018	-8.726	-9.819	-9.652	-8.615	-7.283	-4.631	-4.535	-3.892	-0.080	-3.096
418000000	-0.206	1.157	1.503	1.468	-0.890	-2.948	-1.824	-4.003	-1.264	-2.986	-6.696	-9.269	-7.371	-7.281	-9.981	-8.063	-7.619	-4.495	-3.169	-1.880
419000000	-0.087	1.016	1.888	1.534	-0.113	-1.901	-0.901	-0.870	-3.790	-5.826	-5.908	-2.609	-3.985	-4.250	-4.709	-6.078	-6.502	-5.724	-5.218	-3.979
420000000	-0.275	1.478	1.736	1.797	-0.118	-2.112	-1.848	-2.315	-3.940	-6.708	-6.508	-7.147	-9.289	-10.147	-12.073	-12.133	-12.820	-13.545	-14.615	-12.943
421000000	-0.155	1.505	1.561	1.810	-0.241	-1.832	-2.455	-3.117	-3.272	-2.307	-2.749	-2.070	-0.591	-2.424	-0.872	-0.249	1.430	0.346	0.747	0.888
422000000	-1.048	1.017	1.720	1.040	-1.435	-2.255	-1.122	3.013	-6.888	-3.426	-0.923	15.265	16.175	5.203	1.529	-14.963	0.320	-22.263	-20.640	-12.825
423000000	0.795	0.910	1.910	0.915	-2.419	-2.712	-1.298	0.595	-5.096	-7.184	-8.238	-15.212	-20.692	-20.235	-17.255	-15.556	-20.591	-16.696	-16.427	-11.297
424000000	-0.059	0.537	1.294	1.473	-1.623	-2.924	-1.378	-4.416	-3.938	-3.967	-1.493	-3.658	-2.424	-2.294	-3.599	-2.303	-2.243	-0.479	2.076	3.435
425000000	-0.759	0.899	1.460	1.046	-1.876	-2.394	-2.307	-2.208	-1.538	-4.852	-3.497	-4.685	-5.797	-5.112	-5.527	-2.513	-0.564	-3.791	-2.279	-0.893
426000000	-0.239	0.819	1.200	1.099	-1.348	-1.524	-2.251	-1.592	-3.109	-2.709	-1.999	-1.246	-2.170	-3.607	-3.111	-1.879	-3.951	-4.221	-4.085	-5.041
427000000	-0.199	0.864	1.468	1.132	-1.619	-1.632	-2.035	-3.406	-3.247	-3.649	-3.099	-2.821	-1.051	-2.048	-0.922	-2.067	-1.009	-1.611	-1.217	-2.542
428000000	0.369	1.231	1.698	1.432	-0.639	-2.210	-2.633	-1.881	-4.765	-8.980	-11.147	-12.649	-11.521	-8.252	-9.300	-10.691	-14.151	-16.954	-16.512	-16.125
429000000	0.195	1.303	1.743	1.376	-0.353	-0.520	-2.487	-0.437	-1.227	-4.165	-7.067	-9.172	-9.867	-7.666	-8.112	-8.163	-10.454	-9.650	-11.852	-11.604
430000000	0.206	1.572	1.467	1.625	-0.731	-2.397	-0.777	-1.973	-2.307	-1.503	-2.537	-6.541	-5.315	-4.947	-2.521	-0.309	-0.813	0.502	-1.169	-1.351
431000000	0.618	0.932	1.771	1.298	-0.596	-1.758	-1.269	-2.295	-3.599	-3.989	-2.367	-3.952	-4.178	-4.252	-4.853	-5.040	-4.566	-6.029	-5.674	-5.263
432000000	-0.716	1.508	2.071	1.461	-1.295	-1.819	-2.081	-2.500	-5.892	-4.500	-5.833	-5.431	-7.541	-6.899	-8.586	-10.655	-10.669	-9.446	-6.423	-6.386
433000000	1.324	0.664	1.220	1.186	-1.101	-1.737	-2.983	-3.656	-3.380	-3.941	-3.818	-2.562	-3.456	-3.279	-4.336	-4.471	-4.158	-2.458	-2.545	-3.824
434000000	0.042	0.914	1.932	1.440	-0.290	-3.589	-2.021	4.923	-6.822	-17.005	-8.836	-5.122	-9.417	-5.652	-11.384	-14.403	-21.881	-18.395	-8.103	-7.138
435000000	0.044	1.228	1.693	2.032	-0.511	-0.427	-2.684	-2.175	-2.959	-3.537	-6.393	-6.291	-6.167	-6.721	-9.492	-9.205	-9.002	-8.341	-9.204	-9.602
436000000	0.392	0.964	1.224	1.598	-1.092	-2.455	-1.857	-2.577	-3.353	-5.264	-5.083	-4.789	-5.328	-5.178	-7.021	-8.629	-7.856	-8.988	-8.745	-8.328
437000000	-0.125	1.305	1.459	1.129	-1.717	-1.827	-1.457	-0.774	-5.399	-3.654	-4.491	-4.763	-7.970	-7.588	-6.718	-7.603	-9.466	-9.784	-9.834	-9.125
438000000	-0.558	0.736	1.632	1.510	-1.172	-2.004	-1.855	-3.476	-4.342	-6.649	-5.161	-3.928	-5.322	-4.051	-1.766	-1.736	1.514	3.684	2.447	1.791
439000000	0.088	0.839	1.369	2.354	-0.670	-2.491	-1.116	-1.830	-2.189	-3.626	-4.645	-3.873	-3.964	-1.185	-0.772	-1.141	0.440	2.525	1.014	2.704
440000000	-0.362	0.822	1.272	1.208	-1.122	-2.681	-2.709	-1.777	-4.258	-4.880	-7.946	-4.958	-5.003	-5.785	-7.071	-5.209	-2.698	-3.823	-3.514	-4.708
441000000	0.296	1.478	1.403	1.232	-0.672	-2.289	0.703	-1.666	-5.596	-7.722	-9.711	-12.407	-10.772	-8.794	-12.284	-14.597	-16.182	-19.485	-19.251	-21.745
442000000	0.943	0.894	1.220	1.381	-1.063	-2.005	-2.548	-3.685	-3.849	-4.205	-3.230	-1.902	-0.112	0.278	1.321	0.264	0.110	1.236	1.150	2.596
443000000	0.530	0.893	1.081	1.111	-1.361	-0.925	-2.443	-2.352	-4.569	-5.486	-5.028	-4.896	-4.226	-4.897	-6.174	-7.297	-7.471	-6.279	-5.151	-3.755
444000000	0.612	1.012	1.061	1.243	-1.640	-1.938	-3.067	-3.233	-4.143	-4.537	-5.205	-5.564	-4.684	-5.198	-4.193	-3.910	-3.993	-3.318	-4.852	-5.034
445000000	0.963	0.758	1.502	1.366	-1.634	-3.113	-0.571	-2.504	-3.663	-6.831	-10.802	-14.585	-12.400	-16.008	-13.897	-8.576	-6.162	-11.702	-9.925	-13.059
446000000	0.357	0.557	1.624	1.223	-0.871	-1.681	-1.320	-1.878	-2.513	-2.906	-4.208	-3.981	-3.959	-4.370	-5.671	-5.073	-4.021	-3.558	-2.976	-3.993
447000000	-0.240	1.274	2.124	1.561	-1.260	-1.599	-2.173	-2.772	-4.640	-4.887	-3.679	-4.738	-3.485	-3.280	-2.404	-3.048	-2.925	-2.734	-3.143	-2.805
448000000	-0.273	0.977	1.524	1.419	-1.544	-2.055	-3.197	-4.785	-3.941	-4.346	-5.518	-6.301	-7.422	-8.456	-8.704	-7.627	-8.523	-7.819	-6.105	-5.170
449000000	-0.839	1.513	1.786	1.482	-0.628	-2.554	-2.730	-2.444	-4.436	-2.719	-3.703	-4.033	2.402	3.002	0.102	4.544	2.419	10.166	12.695	14.963
450000000	0.126	0.874	1.818	1.688	-1.411	-2.624	0.533	-2.006	-0.618	-5.939	-9.329	-4.398	0.570	0.106	-4.752	-2.034	-8.028	-2.803	2.439	2.103
451000000	-0.141	0.929	1.524	1.206	-1.155	-2.074	-1.423	-1.116	-4.992	-4.211	-2.075	-2.132	-4.185	-3.406	-2.998	-6.433	-7.281	-9.509	-9.631	-9.722
452000000	0.850	0.604	1.685	1.546	-0.883	-1.870	-1.523	-0.299	-4.510	-4.432	-6.379	-5.638	-7.253	-8.743	-10.685	-10.484	-12.033	-13.822	-16.373	-16.540
453000000	-0.360	0.824	1.503	1.212	-1.567	-2.619	-1.384	0.528	-6.681	-6.861	-6.995	-11.841	-14.493	-7.948	-4.264	-3.694	-2.904	-2.182	-3.705	0.026
