state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
123000000	8.260	16.199	0.2152	1.2233	0.4116	2.1768	0.3609	0.2378	0.1775	0.2239	0.3755	0.1949	0.1824	0.2472	2.1668E-3	1.4097E-3	2.6015E-3	1.9344E-3	2.9749E-3	2.3539E-3	2.8685E-3	2.6176E-3	4.781	1007.863	4527.199	51.452	67.154	18.082	81.367	50.940	83.406	30.720	14.356
124000000	8.155	16.079	0.2199	1.3029	0.3895	2.2211	0.3636	0.2335	0.1849	0.2180	0.3806	0.1892	0.1823	0.2479	2.2095E-3	1.6012E-3	2.8354E-3	1.8279E-3	3.0822E-3	2.3645E-3	2.561E-3	2.8428E-3	41.036	1039.225	4533.604	50.531	66.788	18.086	81.683	46.215	83.691	30.825	13.829
125000000	8.298	16.205	0.2161	1.2354	0.4150	2.1700	0.3403	0.2420	0.1865	0.2312	0.3784	0.1947	0.1822	0.2447	2.2008E-3	1.449E-3	3.3389E-3	1.796E-3	3.2013E-3	2.3352E-3	2.3076E-3	2.3486E-3	142.685	973.126	4429.250	52.973	65.227	17.248	84.302	49.360	83.617	31.667	14.291
126000000	7.337	16.309	0.2248	1.2530	0.3838	2.2325	0.3574	0.2400	0.1818	0.2209	0.3735	0.1957	0.1829	0.2479	2.0461E-3	1.628E-3	2.5886E-3	1.7065E-3	3.0564E-3	2.424E-3	2.4157E-3	2.3236E-3	35.613	940.202	4387.507	50.207	65.528	18.064	83.164	49.188	82.644	31.318	14.843
127000000	8.364	16.189	0.2166	1.0940	0.4042	2.1916	0.3397	0.2457	0.1953	0.2193	0.3784	0.1908	0.1857	0.2451	2.0925E-3	1.4629E-3	2.8216E-3	1.6173E-3	2.9624E-3	2.4455E-3	2.3992E-3	2.4858E-3	50.765	941.418	4365.981	51.973	64.791	17.684	83.082	48.672	83.390	31.310	14.615
128000000	8.883	16.610	0.2358	1.2677	0.3962	2.2076	0.3496	0.2445	0.1858	0.2201	0.3764	0.1943	0.1791	0.2502	2.2835E-3	1.3345E-3	3.2707E-3	1.7938E-3	3.1545E-3	2.6708E-3	2.3298E-3	1.9925E-3	207.178	878.983	4202.301	53.441	66.400	17.708	82.089	48.493	83.366	31.377	15.230
129000000	8.497	15.878	0.2189	1.3224	0.4075	2.1851	0.3464	0.2488	0.1782	0.2265	0.3744	0.1975	0.1818	0.2463	2.1529E-3	1.4205E-3	2.8468E-3	1.9943E-3	3.1651E-3	2.4715E-3	2.3458E-3	2.6889E-3	548.025	1020.365	4556.526	52.727	66.799	17.877	81.960	48.400	83.080	31.587	14.239
130000000	8.097	16.714	0.2181	1.3307	0.4111	2.1777	0.3506	0.2417	0.1957	0.2119	0.3782	0.1964	0.1789	0.2465	2.0947E-3	1.2712E-3	3.2786E-3	1.6908E-3	2.8681E-3	2.4576E-3	2.3328E-3	2.3078E-3	87.471	776.671	4059.820	53.318	67.945	18.260	82.263	49.537	83.430	31.408	14.255
131000000	7.437	16.476	0.2156	1.3526	0.3780	2.2440	0.3525	0.2458	0.1765	0.2252	0.3726	0.1923	0.1799	0.2551	2.2208E-3	1.4863E-3	3.0096E-3	1.8715E-3	3.3523E-3	2.4954E-3	2.483E-3	2.2831E-3	28.603	757.344	3986.369	52.369	66.578	17.579	82.585	46.818	83.443	31.632	15.351
132000000	8.425	16.874	0.2398	1.2891	0.3969	2.2061	0.3518	0.2311	0.1791	0.2379	0.3686	0.1971	0.1812	0.2531	2.2615E-3	1.4375E-3	2.933E-3	1.8044E-3	3.1489E-3	2.3626E-3	2.4185E-3	2.7054E-3	497.172	911.581	4328.617	51.727	66.413	18.051	83.442	48.375	83.731	31.162	14.350
