state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
52000000	6.831	12.813	0.3220	0.1846	0.2483	0.2451	0.4168	0.1612	0.1269	0.2950	0.5028	1.9943	2.5774E-3	23.102	16.901	924.025
53000000	6.587	11.497	0.3259	0.1977	0.2299	0.2465	0.3761	0.1861	0.1318	0.3060	0.5163	1.9673	2.6751E-3	23.792	16.628	932.172
54000000	5.557	11.893	0.3209	0.1779	0.2410	0.2602	0.3962	0.1665	0.1444	0.2929	0.4811	2.0378	2.774E-3	22.572	16.469	906.852
55000000	5.046	11.056	0.3307	0.1757	0.2465	0.2471	0.3903	0.1812	0.1263	0.3022	0.5032	1.9937	2.8077E-3	21.791	16.012	905.365
56000000	5.262	11.196	0.3291	0.1938	0.2463	0.2308	0.3948	0.1851	0.1370	0.2832	0.4787	2.0426	2.904E-3	21.315	16.367	881.658
57000000	6.092	10.989	0.3182	0.1792	0.2588	0.2439	0.3883	0.1684	0.1287	0.3146	0.5172	1.9657	2.641E-3	22.028	18.306	934.486
58000000	5.527	11.352	0.3282	0.1839	0.2489	0.2390	0.3992	0.1708	0.1291	0.3010	0.5205	1.9590	2.6141E-3	22.768	16.502	915.456
59000000	6.440	11.993	0.3194	0.1858	0.2426	0.2522	0.4036	0.1725	0.1313	0.2926	0.5110	1.9779	2.6576E-3	24.233	16.602	929.485
60000000	5.545	10.561	0.3161	0.1844	0.2508	0.2488	0.4049	0.1777	0.1202	0.2973	0.5208	1.9584	2.6547E-3	24.117	15.876	933.976
61000000	6.029	11.898	0.3180	0.2047	0.2437	0.2335	0.4161	0.1773	0.1311	0.2755	0.4930	2.0140	2.6997E-3	22.513	17.129	906.135
62000000	5.744	10.929	0.3180	0.1818	0.2457	0.2545	0.3683	0.1759	0.1423	0.3134	0.5215	1.9569	2.6657E-3	22.540	17.272	913.211
63000000	5.554	12.240	0.3035	0.1876	0.2543	0.2545	0.3972	0.1675	0.1339	0.3015	0.5012	1.9977	2.7453E-3	21.753	15.591	893.317
64000000	5.902	11.369	0.3327	0.1863	0.2466	0.2343	0.3787	0.1802	0.1345	0.3066	0.4855	2.0290	2.7069E-3	22.943	16.737	936.057
65000000	5.350	11.326	0.3074	0.1915	0.2445	0.2567	0.4046	0.1681	0.1295	0.2978	0.5033	1.9934	2.6572E-3	23.135	17.717	910.743
66000000	5.874	11.870	0.3270	0.1858	0.2354	0.2519	0.3921	0.1801	0.1241	0.3037	0.5100	1.9800	2.8311E-3	22.335	16.486	909.320
67000000	6.474	11.529	0.3075	0.2041	0.2377	0.2508	0.4046	0.1820	0.1246	0.2887	0.5155	1.9690	2.7359E-3	22.864	15.529	912.217
68000000	5.149	12.247	0.3124	0.1998	0.2440	0.2438	0.4003	0.1723	0.1378	0.2897	0.5153	1.9695	2.8172E-3	20.680	15.366	879.136
69000000	5.049	11.430	0.3118	0.1949	0.2463	0.2470	0.4009	0.1671	0.1164	0.3156	0.5323	1.9354	2.585E-3	22.339	16.654	914.293
70000000	5.674	10.931	0.3363	0.1915	0.2345	0.2377	0.4060	0.1563	0.1433	0.2944	0.5302	1.9396	2.576E-3	22.882	16.342	921.777
71000000	4.931	12.426	0.3278	0.1969	0.2429	0.2324	0.3860	0.1783	0.1278	0.3079	0.5010	1.9981	2.7706E-3	22.057	16.806	913.075
72000000	5.002	12.369	0.3281	0.1791	0.2574	0.2354	0.4035	0.1739	0.1295	0.2931	0.5148	1.9704	2.7057E-3	23.509	15.989	933.916
73000000	6.570	12.073	0.3258	0.1948	0.2353	0.2441	0.4015	0.1666	0.1280	0.3040	0.5020	1.9960	2.6949E-3	22.114	17.487	927.106
74000000	5.496	13.096	0.3044	0.1974	0.2483	0.2499	0.3944	0.1721	0.1239	0.3096	0.5030	1.9941	2.6926E-3	22.864	16.113	927.161
75000000	5.418	13.288	0.3215	0.1855	0.2477	0.2454	0.4029	0.1788	0.1249	0.2934	0.4835	2.0331	2.7322E-3	23.363	15.778	913.300
76000000	5.888	12.888	0.3230	0.2046	0.2299	0.2425	0.3926	0.1828	0.1260	0.2986	0.4965	2.0070	2.6918E-3	21.814	16.753	896.016
77000000	5.668	10.592	0.3103	0.2149	0.2363	0.2384	0.4110	0.1668	0.1255	0.2967	0.4977	2.0046	2.7466E-3	22.715	16.731	912.991
78000000	5.835	10.581	0.3213	0.1983	0.2382	0.2422	0.3914	0.1739	0.1333	0.3014	0.5008	1.9985	2.7033E-3	23.041	16.165	908.616
79000000	5.601	10.945	0.3335	0.1939	0.2515	0.2211	0.3983	0.1684	0.1287	0.3047	0.5056	1.9889	2.6501E-3	24.783	15.520	939.123
80000000	5.272	11.623	0.3061	0.1993	0.2493	0.2453	0.3914	0.1840	0.1298	0.2948	0.5045	1.9910	2.7895E-3	22.064	16.505	911.472
81000000	5.920	12.182	0.3194	0.1986	0.2395	0.2425	0.4005	0.1698	0.1274	0.3023	0.5189	1.9621	2.6778E-3	23.359	16.587	919.325
82000000	6.271	12.249	0.3179	0.1822	0.2437	0.2563	0.3922	0.1670	0.1240	0.3168	0.5125	1.9749	2.6913E-3	22.352	16.247	931.674
83000000	5.890	12.541	0.3162	0.1940	0.2530	0.2369	0.4004	0.1747	0.1358	0.2890	0.5053	1.9893	2.8372E-3	22.103	16.022	888.955
84000000	5.635	11.861	0.3152	0.2055	0.2368	0.2425	0.3979	0.1740	0.1221	0.3060	0.4915	2.0170	2.6689E-3	22.540	16.305	914.473
