state	posterior	prior	likelihood	coalescent
158000000	-37493.262	-8255.785	-29237.477	-8245.430
159000000	-37469.358	-8205.831	-29263.526	-8195.180
160000000	-37620.268	-8332.189	-29288.079	-8321.952
161000000	-37535.229	-8275.507	-29259.722	-8265.189
162000000	-37527.029	-8173.153	-29353.876	-8162.617
163000000	-37589.497	-8320.339	-29269.158	-8310.015
164000000	-37574.603	-8379.362	-29195.241	-8369.052
165000000	-37727.173	-8518.688	-29208.485	-8508.118
166000000	-37462.263	-8235.102	-29227.161	-8224.665
167000000	-37538.093	-8309.497	-29228.596	-8298.873
168000000	-37582.933	-8269.263	-29313.671	-8258.693
169000000	-37542.133	-8298.280	-29243.853	-8287.832
170000000	-37598.366	-8280.124	-29318.242	-8269.210
171000000	-37710.397	-8459.675	-29250.722	-8448.894
172000000	-37712.496	-8476.898	-29235.598	-8466.330
173000000	-37656.186	-8407.718	-29248.468	-8397.016
174000000	-37666.317	-8487.011	-29179.306	-8476.110
175000000	-37568.313	-8327.233	-29241.080	-8316.584
176000000	-37434.502	-8211.841	-29222.661	-8200.857
177000000	-37539.162	-8324.694	-29214.468	-8314.215
178000000	-37508.217	-8250.858	-29257.360	-8240.308
179000000	-37540.088	-8281.172	-29258.916	-8270.774
180000000	-37605.208	-8417.013	-29188.195	-8406.453
181000000	-37733.241	-8491.013	-29242.228	-8480.524
182000000	-37701.885	-8462.762	-29239.123	-8452.284
183000000	-37745.569	-8541.580	-29203.989	-8530.825
184000000	-37668.925	-8465.580	-29203.345	-8455.206
185000000	-37771.102	-8520.764	-29250.338	-8509.848
186000000	-37675.744	-8443.349	-29232.395	-8432.650
187000000	-37682.084	-8439.593	-29242.492	-8428.919
188000000	-37751.766	-8560.676	-29191.089	-8550.134
189000000	-37647.238	-8387.398	-29259.839	-8376.912
190000000	-37678.783	-8481.233	-29197.550	-8470.582
191000000	-37801.355	-8587.621	-29213.735	-8576.819
192000000	-37684.813	-8420.120	-29264.693	-8409.214
193000000	-37627.725	-8466.375	-29161.350	-8455.666
194000000	-37477.913	-8357.033	-29120.880	-8346.650
195000000	-37652.091	-8459.911	-29192.179	-8449.433
196000000	-37551.597	-8351.249	-29200.348	-8340.760
197000000	-37600.261	-8385.063	-29215.198	-8374.489
198000000	-37568.905	-8314.671	-29254.234	-8303.982
199000000	-37645.531	-8406.506	-29239.025	-8395.721
200000000	-37556.286	-8304.984	-29251.302	-8294.390
201000000	-37658.215	-8401.259	-29256.957	-8390.706
202000000	-37594.103	-8352.117	-29241.986	-8341.448
203000000	-37654.401	-8416.384	-29238.017	-8405.517
204000000	-37639.736	-8423.884	-29215.852	-8413.318
205000000	-37679.555	-8437.121	-29242.435	-8426.444
206000000	-37691.383	-8481.158	-29210.225	-8470.699
207000000	-37706.948	-8514.698	-29192.250	-8504.389
208000000	-37510.080	-8306.535	-29203.545	-8295.948
209000000	-37581.053	-8358.720	-29222.332	-8348.347
210000000	-37658.032	-8517.937	-29140.094	-8507.491
211000000	-37543.543	-8333.797	-29209.746	-8323.262
212000000	-37725.630	-8464.805	-29260.825	-8454.115
213000000	-37711.877	-8559.621	-29152.256	-8549.067
214000000	-37572.993	-8381.745	-29191.248	-8371.441
215000000	-37766.896	-8559.734	-29207.162	-8549.012
216000000	-37743.108	-8540.343	-29202.764	-8529.736
217000000	-37751.036	-8483.032	-29268.005	-8472.232
218000000	-37793.245	-8647.863	-29145.382	-8637.386
219000000	-37754.038	-8550.568	-29203.470	-8539.986
220000000	-37568.092	-8432.859	-29135.233	-8422.168
221000000	-37744.168	-8513.187	-29230.980	-8502.505
222000000	-37664.057	-8528.553	-29135.504	-8517.867
223000000	-37599.277	-8422.513	-29176.764	-8411.935
224000000	-37633.483	-8385.791	-29247.692	-8374.936
225000000	-37419.179	-8214.616	-29204.563	-8204.328
226000000	-37442.150	-8240.980	-29201.171	-8230.331
227000000	-37639.112	-8424.253	-29214.859	-8413.752
228000000	-37690.127	-8518.033	-29172.094	-8507.088
229000000	-37657.515	-8402.560	-29254.955	-8391.891
230000000	-37581.393	-8353.445	-29227.948	-8343.001
231000000	-37585.725	-8494.338	-29091.387	-8483.883
232000000	-37482.001	-8278.358	-29203.643	-8267.964
233000000	-37502.435	-8333.084	-29169.350	-8322.735
234000000	-37598.526	-8395.013	-29203.513	-8384.506
235000000	-37674.208	-8457.890	-29216.318	-8447.102
236000000	-37601.098	-8377.301	-29223.797	-8366.528
237000000	-37709.805	-8476.893	-29232.912	-8466.250
238000000	-37608.673	-8316.086	-29292.586	-8305.407
239000000	-37628.798	-8406.525	-29222.273	-8395.888
240000000	-37543.624	-8385.738	-29157.885	-8374.963
241000000	-37673.615	-8431.398	-29242.218	-8420.810
242000000	-37578.576	-8364.447	-29214.129	-8353.540
243000000	-37509.448	-8222.737	-29286.711	-8212.020
244000000	-37588.422	-8342.463	-29245.959	-8331.961
245000000	-37516.825	-8306.815	-29210.009	-8296.146
246000000	-37563.828	-8375.741	-29188.087	-8364.797
247000000	-37586.653	-8327.677	-29258.976	-8317.207
248000000	-37542.764	-8346.958	-29195.806	-8336.219
249000000	-37714.031	-8460.022	-29254.009	-8449.273
250000000	-37650.104	-8394.087	-29256.018	-8383.622
251000000	-37614.760	-8350.810	-29263.950	-8340.133
252000000	-37452.234	-8246.830	-29205.404	-8236.377
253000000	-37550.532	-8352.912	-29197.620	-8342.330
254000000	-37624.162	-8324.796	-29299.365	-8314.139
255000000	-37548.538	-8312.306	-29236.232	-8301.320
256000000	-37758.924	-8510.925	-29248.000	-8500.305
257000000	-37574.869	-8347.487	-29227.381	-8336.937
258000000	-37626.450	-8353.417	-29273.033	-8342.851
259000000	-37564.137	-8333.879	-29230.258	-8323.284
260000000	-37735.559	-8416.563	-29318.996	-8406.175
261000000	-37698.222	-8439.494	-29258.728	-8428.808
262000000	-37797.161	-8511.158	-29286.003	-8500.529
263000000	-37600.851	-8319.018	-29281.834	-8308.468
264000000	-37628.461	-8330.292	-29298.170	-8319.408
265000000	-37618.371	-8393.204	-29225.168	-8382.115
266000000	-37541.330	-8294.624	-29246.706	-8283.732
267000000	-37584.828	-8305.400	-29279.428	-8294.895
268000000	-37635.726	-8323.630	-29312.097	-8312.988
269000000	-37477.386	-8202.808	-29274.578	-8192.350
270000000	-37820.682	-8477.668	-29343.014	-8467.099
271000000	-37668.549	-8453.125	-29215.424	-8442.472
272000000	-37710.448	-8511.582	-29198.866	-8500.841
273000000	-37518.034	-8305.687	-29212.348	-8295.118
274000000	-37714.654	-8525.796	-29188.858	-8515.125
275000000	-37597.245	-8372.691	-29224.553	-8362.062
276000000	-37609.856	-8383.732	-29226.124	-8373.157
277000000	-37755.097	-8438.319	-29316.777	-8427.697
278000000	-37606.901	-8370.457	-29236.445	-8359.952
279000000	-37532.792	-8245.184	-29287.608	-8234.838
280000000	-37654.969	-8413.647	-29241.322	-8403.046
281000000	-37583.396	-8312.340	-29271.056	-8301.950
282000000	-37624.769	-8328.323	-29296.445	-8317.420
283000000	-37599.520	-8284.611	-29314.909	-8274.013
284000000	-37487.978	-8275.981	-29211.997	-8265.396
285000000	-37589.815	-8358.954	-29230.860	-8348.290
286000000	-37511.747	-8263.820	-29247.927	-8253.196
287000000	-37700.760	-8393.736	-29307.024	-8382.720
288000000	-37666.924	-8417.026	-29249.898	-8406.525
289000000	-37579.572	-8326.061	-29253.511	-8315.311
290000000	-37600.484	-8356.946	-29243.537	-8346.346
291000000	-37611.473	-8355.383	-29256.090	-8344.630
292000000	-37659.863	-8350.416	-29309.447	-8339.908
293000000	-37626.134	-8379.081	-29247.053	-8368.403
294000000	-37612.493	-8300.282	-29312.211	-8289.599
295000000	-37569.011	-8300.227	-29268.784	-8289.587
296000000	-37717.078	-8460.997	-29256.081	-8450.283
297000000	-37811.210	-8417.256	-29393.953	-8406.430
298000000	-37544.844	-8228.792	-29316.052	-8218.038
299000000	-37544.223	-8257.481	-29286.743	-8246.929
300000000	-37601.862	-8332.490	-29269.372	-8321.887
301000000	-37553.233	-8274.299	-29278.934	-8263.790
302000000	-37674.144	-8415.735	-29258.409	-8405.402
303000000	-37543.417	-8307.680	-29235.737	-8297.190
304000000	-37695.171	-8459.379	-29235.792	-8448.725
305000000	-37684.014	-8420.152	-29263.862	-8409.971
306000000	-37660.289	-8420.508	-29239.780	-8409.985
307000000	-37604.315	-8387.438	-29216.877	-8377.020
308000000	-37579.328	-8359.888	-29219.440	-8349.085
309000000	-37647.833	-8374.625	-29273.208	-8364.224
310000000	-37680.615	-8357.654	-29322.961	-8346.951
311000000	-37739.517	-8438.056	-29301.462	-8427.560
312000000	-37717.210	-8418.316	-29298.894	-8407.552
313000000	-37465.148	-8134.393	-29330.754	-8123.741
314000000	-37715.161	-8366.113	-29349.048	-8355.362
315000000	-37465.856	-8234.265	-29231.591	-8223.747
316000000	-37552.685	-8270.159	-29282.527	-8259.588
317000000	-37622.548	-8348.354	-29274.194	-8337.554
318000000	-37591.894	-8351.439	-29240.456	-8340.593
319000000	-37609.577	-8336.589	-29272.988	-8325.856
320000000	-37703.652	-8422.645	-29281.007	-8412.028
321000000	-37678.524	-8442.116	-29236.408	-8431.470
322000000	-37635.922	-8395.941	-29239.981	-8384.973
323000000	-37720.641	-8352.464	-29368.177	-8341.876
324000000	-37518.575	-8213.199	-29305.376	-8202.723
325000000	-37588.573	-8318.108	-29270.465	-8307.549
326000000	-37584.927	-8312.988	-29271.939	-8302.501
327000000	-37520.756	-8284.905	-29235.852	-8274.200
328000000	-37747.548	-8423.771	-29323.777	-8413.067
329000000	-37641.556	-8383.376	-29258.179	-8372.824
330000000	-37608.139	-8394.495	-29213.644	-8383.652
331000000	-37612.168	-8356.134	-29256.034	-8345.455
332000000	-37636.115	-8381.683	-29254.431	-8370.970
333000000	-37652.489	-8314.022	-29338.467	-8303.613
334000000	-37523.251	-8255.951	-29267.300	-8245.378
335000000	-37712.397	-8372.471	-29339.926	-8361.514
336000000	-37633.132	-8354.056	-29279.076	-8343.240
337000000	-37579.255	-8303.654	-29275.601	-8293.212
338000000	-37562.046	-8206.640	-29355.406	-8196.132
339000000	-37497.903	-8224.429	-29273.474	-8214.040
340000000	-37693.297	-8349.962	-29343.335	-8339.493
341000000	-37461.399	-8176.124	-29285.275	-8165.623
342000000	-37511.773	-8201.226	-29310.548	-8190.618
343000000	-37524.589	-8328.936	-29195.652	-8318.404
344000000	-37536.785	-8347.937	-29188.848	-8337.419
345000000	-37590.007	-8353.669	-29236.337	-8343.117
346000000	-37553.719	-8295.691	-29258.028	-8285.082
347000000	-37465.467	-8251.356	-29214.111	-8240.419
348000000	-37481.638	-8268.009	-29213.629	-8257.415
349000000	-37512.408	-8275.517	-29236.891	-8264.993
350000000	-37493.658	-8235.514	-29258.144	-8224.882
351000000	-37495.047	-8263.867	-29231.180	-8253.246
352000000	-37529.430	-8316.233	-29213.197	-8305.619
353000000	-37567.316	-8193.956	-29373.360	-8183.308
354000000	-37544.990	-8325.241	-29219.749	-8314.576
355000000	-37494.907	-8229.531	-29265.375	-8218.785
356000000	-37510.821	-8249.542	-29261.279	-8238.882
357000000	-37617.105	-8343.715	-29273.390	-8333.135
358000000	-37658.200	-8435.142	-29223.059	-8424.710
359000000	-37559.611	-8292.764	-29266.846	-8282.024
360000000	-37495.501	-8256.404	-29239.097	-8245.947
361000000	-37548.605	-8251.248	-29297.358	-8240.562
362000000	-37506.645	-8243.150	-29263.495	-8232.556
363000000	-37491.306	-8292.121	-29199.185	-8281.136
364000000	-37497.791	-8294.241	-29203.550	-8283.633
365000000	-37567.362	-8309.063	-29258.298	-8298.399
366000000	-37440.372	-8223.459	-29216.913	-8212.842
367000000	-37564.367	-8398.313	-29166.054	-8387.860
368000000	-37487.999	-8275.888	-29212.111	-8265.213
